t,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3_Obs
0,3.61936639548402e-05,0.00023524777162907,0.333073172347697
3.5,4.12889445396287e-05,NaN,NaN
5.5,NaN,NaN,0.356157906403084
7,3.08051189388746e-05,NaN,NaN
10,2.67701236561592e-05,NaN,0.244807836949386
15,1.66669828095393e-05,NaN,NaN
20,1.79801603628096e-05,0.000196556512772359,0.208329344313405
25,1.7773575737147e-05,NaN,0.157717780516051
30,1.43251907990636e-05,NaN,NaN
35,1.46367883948779e-05,NaN,0.147161525428117
40,NaN,0.000211569585848008,NaN
45,2.09292231563293e-05,NaN,0.159779592534459
50,1.86677051720444e-05,NaN,NaN
60,1.75705602502191e-05,NaN,NaN
65,NaN,0.000172061454075647,NaN
85,NaN,0.000184021645817064,NaN
100,NaN,0.000152034193287835,NaN
150,NaN,0.000112343872629671,NaN
200,NaN,6.57533161483657e-05,NaN
250,NaN,9.20228265564368e-05,NaN
300,NaN,0.000104009211980669,NaN
