t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,1.21585332590978,-0.00468475072220285,53.7524687674982,0.492483257650852,-0.0580933708640992,-6.34162008845003e-06,0.000291069503038911,0.027711160775882,0.0281610473266007
5,NaN,NaN,40.3449815494645,NaN,NaN,NaN,NaN,NaN,NaN
10,1.50626309107183,0.191525197874763,36.6479271058424,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,37.292865010777,3.72387954430429,0.641643364102284,NaN,0.000120087829612877,0.0241443472884879,0.0213640634628903
20,1.31554976743168,NaN,50.3267827463552,NaN,NaN,0.000650694439961357,NaN,NaN,NaN
25,NaN,0.150006503505795,NaN,8.54721101541184,1.6363782726068,NaN,NaN,NaN,NaN
30,1.43279050886344,NaN,49.066195655202,NaN,NaN,NaN,NaN,0.0271108478720097,0.0281115606881353
35,NaN,0.0646270672582652,49.3654744518325,NaN,NaN,0.00194112609682549,0.00133036980067113,NaN,NaN
40,NaN,NaN,NaN,9.2143753559041,1.84409890274667,NaN,NaN,NaN,NaN
45,1.36316246442811,NaN,38.8030837889859,NaN,NaN,NaN,NaN,0.0438428673443032,0.0324359645881537
50,NaN,0.0691009944114572,NaN,NaN,NaN,NaN,0.00229953446081299,NaN,NaN
55,NaN,NaN,43.7330837273042,7.38630474704903,NaN,0.00212832296632994,NaN,NaN,NaN
60,1.49775721224729,NaN,NaN,NaN,1.7913209126503,NaN,NaN,NaN,0.0343923261435583
65,NaN,0.0450595373792831,40.2665565742136,NaN,NaN,NaN,NaN,0.0380829425092369,NaN
70,NaN,NaN,NaN,6.14783357155817,NaN,NaN,0.00228584633780017,NaN,NaN
75,1.63687971485988,NaN,NaN,NaN,1.28226778717797,NaN,NaN,NaN,NaN
80,NaN,0.0394964299366667,46.0908428688427,NaN,NaN,0.00203195801532248,NaN,NaN,0.0405491232576312
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0361140956346992,NaN
90,NaN,NaN,NaN,4.53025316363427,NaN,NaN,0.00169269915336015,NaN,NaN
95,1.36374308415489,NaN,NaN,NaN,1.13577569140828,NaN,NaN,NaN,NaN
100,1.70220822992326,0.0552585521021005,NaN,4.50495495521599,0.934226498506546,0.00133790270144323,0.00179990892283906,0.0260879270065749,0.0268137235233353
150,1.38327095180138,0.0419718498365014,NaN,2.21761664088313,0.699282386999822,0.000830745256889889,0.000889682552253323,0.0369213261943823,0.0236376866785428
200,NaN,0.0477136945880111,NaN,0.789004955501337,0.518134834029172,0.000942875271943608,0.000584751865593847,0.0316027674593013,0.0332546698825282
250,NaN,NaN,NaN,2.07573310001732,0.480785710019624,0.000631091667572127,0.00061398745359628,0.0289246990377473,0.0269773582490528
300,NaN,NaN,NaN,1.52318813442282,NaN,0.000211537715399121,0.000398327139784058,NaN,NaN
