t,EpoRpJAK2_Obs,PTP_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,-3.39081697442511e-05,45.0770391424543,104.350747436975,-2.90099923621171,-0.627441290334097,0.000710414240279894,0.000396169811478891,-0.00202182042400966,1.06364187191629,0.02247727966518,0.0117592475986112
4.5,NaN,43.1405187518634,32.4299805965571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.0117345611691485,NaN,NaN,92.7291411301251,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.0033144935161511,NaN,NaN,NaN,NaN
8.5,NaN,44.2876084540718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,-3.5860067503537,NaN,NaN,0.00643670223714338,NaN,0.00153439109702534,-1.28582014750633,NaN,NaN
10,NaN,NaN,NaN,NaN,8.85380655863482,NaN,NaN,NaN,NaN,0.0459779429701213,0.0113536634051693
15,0.0320612290288124,44.1449926616723,2.06342756456171,84.6348240583034,NaN,NaN,0.00932337886609504,NaN,NaN,NaN,NaN
20,0.0227044135501586,46.8534612164118,0.130829307596755,77.5347789500545,14.2708070723015,0.0202857606600269,NaN,0.0128641423600754,-1.19238193370794,NaN,0.0161595182239776
25,NaN,35.2035557214888,3.6542735529873,64.7479746299541,NaN,NaN,0.0195595637346119,NaN,NaN,0.0272207695648401,NaN
30,0.0241957792744744,34.9206074884455,6.24079929202584,NaN,22.7886316557624,0.0213247691504359,NaN,0.0245863513609057,1.30279343208659,NaN,NaN
35,0.0279664119231391,45.1187149535294,NaN,66.7704864585493,NaN,NaN,0.0189165700636996,NaN,NaN,0.0558081262734532,0.0448651412998938
40,NaN,NaN,14.8902364236801,NaN,24.1817291973112,0.0216871228771085,NaN,0.020354801939017,2.40117787511554,NaN,NaN
45,0.0286967478566321,38.7289256997882,NaN,59.3744182987303,NaN,NaN,0.020587768642945,NaN,NaN,NaN,0.0563348637051373
50,NaN,NaN,22.4603875602712,NaN,NaN,NaN,NaN,NaN,NaN,0.0827208853320154,NaN
55,NaN,53.5188754284388,NaN,53.6186687631679,25.3485151645801,0.0185922095501847,NaN,0.0229363557078554,4.65575727408859,NaN,NaN
60,0.0320531130372269,NaN,34.84675300615,NaN,NaN,NaN,0.0202524633003267,NaN,NaN,0.128962799637787,0.0953720707688928
65,NaN,56.066618159258,NaN,70.4365312277162,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,31.7507856470417,NaN,27.0613615413551,0.0136685652207333,NaN,0.016116473054232,11.9970311276189,NaN,NaN
75,0.0192498724135599,NaN,NaN,NaN,NaN,NaN,0.0149907452051049,NaN,NaN,NaN,NaN
80,NaN,39.0183185024231,NaN,33.7377255032548,NaN,NaN,NaN,NaN,NaN,0.140604172236477,0.102274412540485
85,NaN,NaN,32.6306109591771,NaN,23.4278127789195,0.0161385790873816,NaN,NaN,12.7245843251616,NaN,NaN
90,0.0338861030136585,NaN,NaN,NaN,NaN,NaN,0.0149509600247161,0.0117896426417221,NaN,NaN,NaN
95,NaN,NaN,NaN,31.6602746174942,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,43.8081415804264,41.4797855725323,19.9650539414703,0.0138221455560558,0.0133586307078876,0.0111275626349378,13.5996954012128,0.111981019582939,0.091481081448749
150,NaN,NaN,NaN,42.3318026288353,18.4949802933156,0.0135713234758618,0.011535239831994,0.0136602286496778,18.8713075591396,0.079833322333032,0.0799761404439951
200,NaN,NaN,NaN,NaN,18.2855613470668,NaN,NaN,NaN,NaN,0.0837837607118167,0.0720650901601921
