t,PTPAct_Obs,CISHnRNA4_Obs,CISHRNA_Obs
0,0.000114252300594136,0.000138526729281246,0.00122544207236341
80,NaN,0.000647990486243255,NaN
100,0.00215500262635555,NaN,0.00193210371613406
150,NaN,0.00052927513764052,NaN
200,0.00322801992489709,NaN,0.00354215330564761
250,NaN,0.000592909447722822,NaN
350,0.00406076548196415,0.000514186944001033,0.00293929872839438
450,0.00440160768585793,0.000478194136126551,0.00325503855156195
600,0.00460071336240249,0.000535705752911245,0.00307915263110455
750,0.00508019588148368,0.000431976780642846,0.00350767460843806
900,NaN,0.000550335056511864,NaN
950,0.00530668203139077,NaN,0.00265476116398164
1000,0.00402945370852061,0.000699338619199217,0.00325261673753535
1500,0.00439950669171288,0.000491543150725984,0.00285478057094728
