t,epo_level,EpoRJAK2_Obs,SOCS3nRNA1_Obs
150,2.5e-09,1.4586795817,0.0536435297494658
150,2.5e-09,1.50128708415544,0.0377335921618957
150,2.5e-09,1.62941149225905,0.0322054797798897
150,2.5e-08,1.25204420960178,0.0798919533952941
150,2.5e-08,1.31119415129135,0.0654317105558031
150,2.5e-08,1.56413109721706,0.0548564107391553
150,1.25e-07,1.10997016335991,0.0928826418979794
150,1.25e-07,1.35702777850919,0.0755675997901023
150,1.25e-07,1.98994502335419,0.105151279605835
150,2.5e-07,1.09052577913274,0.0909522341059548
150,2.5e-07,1.27715870214547,0.110156953595668
150,2.5e-07,1.34055373541125,0.111163366294358
150,2.5e-06,0.797538382895869,0.148738766947985
150,2.5e-06,0.902797343390367,0.134494925029819
150,2.5e-06,0.961200680360321,0.116588091605504
