t,EpoRpJAK2_Obs,CISHnRNA2_Obs,CIS_Obs,SOCS3nRNA5_Obs
0,-0.0327196085142786,-0.00360411146693482,-1.30544511009657,0.00681288578836485
9.5,NaN,NaN,-0.242592484316425,NaN
10,0.0752716086444961,0.0133267392587216,NaN,0.0316415891200919
20,0.112538543280149,0.021170656855303,1.95870228161173,NaN
25,NaN,NaN,NaN,0.0158795869118586
30,NaN,0.0257103508194138,0.492350413022838,NaN
35,0.168937941458398,NaN,NaN,0.0746018693466318
40,NaN,NaN,4.80332930881536,NaN
45,0.201801503102229,0.0221905449484982,NaN,NaN
50,NaN,NaN,NaN,0.129140911465634
55,NaN,0.0175452226499693,6.02372346026588,NaN
60,0.201698931929199,NaN,NaN,NaN
65,NaN,NaN,11.4856502485101,0.14246662246747
70,NaN,0.0205099379976132,NaN,NaN
80,0.2229335889937,NaN,NaN,0.117742091618125
85,NaN,NaN,14.9080144108674,NaN
90,NaN,0.0191234083716781,NaN,NaN
95,0.186180820074756,NaN,NaN,NaN
100,0.189757531724503,0.0209576074389147,15.5379091054937,0.154829667518263
150,0.18377919388461,0.015643976052355,24.7486111319173,0.133016268482727
200,0.123235624408108,0.0200104273479725,27.1544170102161,0.133746071778055
