t,PTPAct_Obs,CISHnRNA4_Obs,CISHRNA_Obs
0,-0.112580344949221,3.47263283456478e-05,0.000263737580749501
10,-0.442847288234567,4.34246148307281e-05,NaN
15,NaN,NaN,0.000187359194597883
20,NaN,4.51768876134271e-05,NaN
25,0.0206495720593371,NaN,NaN
30,NaN,2.63223876540158e-05,0.000262746578225815
40,-0.134136223983144,NaN,NaN
45,NaN,3.70781557720994e-05,NaN
50,NaN,NaN,0.000206524732342411
55,0.00654466584435977,NaN,NaN
60,NaN,3.26686583175376e-05,NaN
65,NaN,NaN,0.00024564920686734
75,-0.151726579926039,NaN,NaN
80,NaN,3.18790034821914e-05,NaN
90,NaN,NaN,0.000221685581664226
95,-0.0548091075576908,NaN,NaN
100,NaN,NaN,0.000199374499127603
