t,epo_level,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
12,0,2.5351650959497,-0.138462650680065,0.20459899613482,5.349449316454e-05,-1.00923454117683e-05,-0.102567775079436
12,0,3.3957638079017,0.0715707971920362,0.0706271580049511,2.83317097644527e-05,1.90895347959663e-05,-0.146307892763186
12,4.2857e-08,2.60698156829799,0.651146568942145,0.164687339353311,9.29745079600288e-05,2.68872387028743e-05,-0.073806858695228
12,4.2857e-08,3.54566298829052,0.500156644394349,0.533011466752803,1.45606099379239e-05,1.81661196286044e-05,-0.00447505303430628
12,1.4286e-07,2.97194973115872,1.36377724842264,0.518359394759432,7.32624315910737e-05,6.73533221203492e-05,-0.119903229144427
12,1.4286e-07,3.1634984097265,0.832590275365493,0.515377725600781,4.79002941025459e-05,3.64474745183524e-05,0.195511000724363
12,4.2857e-07,3.02784665596563,4.87320787687598,2.11078435661671,0.000269604433496743,5.79374614320935e-05,0.274793663542938
12,4.2857e-07,4.33509327658509,4.45503097186129,2.19643664872686,6.03861371614284e-05,4.12718248079953e-05,0.0545907843948174
12,1.4286e-06,3.4818972473328,6.76000004529447,3.5982961814664,0.000413530397889262,0.00013214947801072,2.44727559506773
12,1.4286e-06,4.00542893428979,7.15992114864011,3.20483780673103,0.000403958349104639,0.000131268045029122,2.5791718017874
12,4.2857e-06,2.85703573382269,4.60874302522962,2.84137578689651,0.00060796002866336,0.000234510518589069,4.36242883960997
12,4.2857e-06,3.64421190019755,5.65250100293528,3.16614189271551,0.000700470566570375,0.000313258007825751,3.62364553359081
12,1.4286e-05,3.84108896625733,4.50347803387379,2.79485153139519,0.000881636882560321,0.000343686352809859,2.82373111721174
12,1.4286e-05,3.89729094839324,4.69070233410146,3.03626694561814,0.000695397636031604,0.000384760757373296,2.87946984858041
12,4.2857e-05,3.32694034142736,4.00992158868246,2.60946127610139,0.000884419204250532,0.000397026430082281,2.05271702009361
12,4.2857e-05,3.43217194980943,3.49676785821452,2.58596595497202,0.00070637474704237,0.000356893676102279,1.68207929404787
