t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs
0,1.86051414796477,0.000783978754712374,0.0314858482837297,47.2992588404597,-0.000411531121928577,-1.19711119377556,-0.385512759666097,-0.996840418181487,0.00231988389767481,0.00171063897604359,0.00347190051555659,0.0010931434492529,-0.00180450895507539,2.28682340820031,0.0249250626207803,0.0297690325941443,0.0185047020288461
7,NaN,NaN,NaN,35.3705374594105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,47.3567883339628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.412740281178963,48.0305630314859,NaN,87.4316743285016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1.19849908429275,0.0323301290026586,NaN,NaN,NaN,NaN,20.2222899435032,17.0257775121564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,55.4806313443681,NaN,NaN,NaN,NaN,0.0210460028800398,NaN,0.0209309181498748,NaN,NaN,NaN,0.154723864888559,NaN,0.0204828940371479
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0199198278823358,NaN,0.0219287022523248,0.0533585090607076,-0.493588027668226,NaN,0.0986222619765322,NaN
40,NaN,NaN,0.256655632806511,46.9363732449384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.0283518147560187,NaN,NaN,NaN,58.897433592092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1.56901639159505,NaN,NaN,46.1062533815382,NaN,NaN,28.6931264653611,15.8000945479449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
