t,CISHnRNA1_Obs,CISHnRNA5_Obs,CISHRNA_Obs
0,3.70518775955433e-05,3.7367071783331e-05,0.000170155886640988
3.5,NaN,3.59025710487098e-05,NaN
4,2.37739942319774e-05,NaN,NaN
7.5,NaN,3.40159412100358e-05,NaN
8.5,1.75080969071195e-05,NaN,NaN
10,NaN,2.72713477618858e-05,NaN
15,1.84394893013723e-05,2.34387196273554e-05,0.000156725192458338
20,1.73635673050605e-05,1.99749026413151e-05,NaN
25,1.90259523351308e-05,2.24613518314928e-05,0.000140264644838784
30,NaN,1.54695953979526e-05,NaN
35,1.54419575105653e-05,NaN,NaN
40,NaN,1.90803192048009e-05,0.000151278886328157
45,NaN,2.16314791682016e-05,NaN
55,NaN,1.31934554335958e-05,NaN
60,NaN,NaN,9.69050903318342e-05
70,NaN,1.63097406915492e-05,NaN
80,NaN,NaN,0.000105029488138959
100,NaN,NaN,8.12857012971002e-05
