t,pEpoRpJAK2_Obs,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA3_Obs
0,0.0262811936365337,3.58094512275179,-0.68256126821052,-0.0319780292708746,9.73762128257011e-05,-5.12160473187342e-06,0.160096966072838,0.110912646060345
9.5,1.17519082979711,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,5.82414972697091,3.51944693810939,NaN,NaN,NaN,5.288206434545
20,0.67529136245742,4.40693274295838,NaN,NaN,0.000715631693050969,0.000870649500914401,0.0650250859752238,NaN
25,NaN,NaN,1.4635128829128,0.689402117294932,NaN,NaN,NaN,0.0998960729129808
30,0.201647468695562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,1.05591092047593,NaN,NaN,NaN,NaN,0.0671327853727533
40,0.440265675994976,4.79731535686394,NaN,0.769674707012935,0.000253617950556996,0.000306942497132108,0.178177616227419,NaN
50,NaN,NaN,4.83252956531885,NaN,NaN,NaN,NaN,0.0314560122272618
55,0.566757992531238,NaN,NaN,2.47467582627395,NaN,NaN,NaN,NaN
60,NaN,3.82633048778553,NaN,NaN,NaN,0.000571803616671829,NaN,NaN
65,NaN,NaN,2.42115778783505,NaN,0.000674926862307344,NaN,0.386622738766915,0.109971723149223
70,0.383845861303059,NaN,NaN,2.18134087857615,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.000572453690182323,NaN,NaN
85,NaN,2.75960664058849,3.33471378172177,NaN,NaN,NaN,0.308580822431108,0.0816340039843908
90,0.44572719364486,NaN,NaN,2.1267536915732,0.000660568879698071,NaN,NaN,NaN
100,0.475009307252722,4.49059460005702,3.39037978800079,1.64103515888002,0.000557373645636862,0.000602608670776012,0.414108790668572,0.110878173727603
150,0.251585959431482,3.64995855444205,3.1852532990323,1.97187688931299,0.000735841730896088,0.000537683094469533,0.540778197810101,0.0607748808541515
200,NaN,4.16484348114158,NaN,NaN,0.000481990200493306,0.000601063914688143,0.768719783796039,NaN
250,NaN,3.30954302445403,NaN,NaN,0.000515398842830718,0.000496254057266796,0.886015102830758,NaN
300,NaN,3.63752119122612,NaN,NaN,0.000577439348327621,0.000591035490881982,0.952363608294965,NaN
350,NaN,3.18674647439398,NaN,NaN,0.000535837940913404,0.000508479190274254,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,1.21825529686477,NaN
450,NaN,NaN,NaN,NaN,0.000697162258684947,0.000570679431992341,NaN,NaN
