t,EpoRJAK2_Obs,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,1.49808119233276,45.1167423974072,-3.81650390049249,2.25019633533947,0.000317001791049222,0.000281468276936202,-1.96934884355941,0.0163015376338459,0.0114565986107438
4.5,NaN,49.8752518916103,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,47.5192163190643,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,85.7667339536988,NaN,NaN,NaN,NaN,NaN,NaN
15,1.02617273374276,45.7628196197665,NaN,NaN,NaN,NaN,1.74620322928888,NaN,0.0113778546040342
20,NaN,39.3520584067806,NaN,15.227214269768,0.00840633331218384,0.00622689039425838,NaN,NaN,NaN
25,NaN,60.2036113542043,76.9260052970366,NaN,NaN,NaN,NaN,0.0704216791271084,NaN
30,1.37267131575569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,47.1633234272098,67.4405252489832,NaN,NaN,NaN,3.21795862822308,NaN,0.069166544163289
40,NaN,44.3527385902542,NaN,15.852270005184,0.0108896575765025,0.00939646844244992,NaN,NaN,NaN
45,1.28772128771556,NaN,NaN,NaN,NaN,NaN,NaN,0.0582638448278324,NaN
50,NaN,43.484580756226,61.1983925055931,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,3.32326048757786,NaN,0.0626434948462043
60,1.33867995339272,53.9609407222868,64.1878635189303,14.3616311363522,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.00926433336802641,0.00887786679677272,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0606261579979222,NaN
75,NaN,34.8154398018725,36.8019069450221,NaN,NaN,NaN,7.03240596613917,NaN,0.0650034152862929
80,1.60108784798667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,10.2824996336422,0.0100640732884879,NaN,NaN,NaN,NaN
90,NaN,46.3648154563288,NaN,NaN,NaN,0.00733501433956635,NaN,NaN,NaN
95,NaN,NaN,50.5373493832705,NaN,NaN,NaN,6.59812336723579,NaN,0.058784446677705
100,1.15846097379846,NaN,56.1730128012622,11.4285099455596,0.00811149138763403,0.00749862535812071,8.16002533472042,0.0595784613648504,0.0353051360641301
150,1.06887432078761,NaN,52.4714745379873,7.67513944475596,0.0047474877523692,0.00686305085876369,12.4464290202301,0.0548611322966373,0.0497756171267484
200,1.56087627314062,NaN,45.6676074430077,7.48410616056973,0.00505933693118073,0.00624738377162441,10.4749414450976,0.0426307434761631,0.0343277764686456
250,1.34344969726661,NaN,42.5907424735842,9.88062009196621,NaN,0.00700016646469249,13.4006060731966,0.0560025934309683,0.048587925987088
300,NaN,NaN,NaN,9.68955246121129,0.00695136738971742,0.00558509291645178,11.3871093961927,0.0462407471556642,0.0514188057498352
350,NaN,NaN,NaN,NaN,0.00678295241530141,NaN,13.9246575496658,NaN,NaN
400,NaN,NaN,NaN,10.739905693246,NaN,NaN,NaN,0.0459594283113068,NaN
