t,EpoRJAK2_Obs,PTP_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,1.49736504837251,195.566411970796,5.06826881690984,0.321918861870089,-0.00264719613755741,0.00124563797193746,-0.00184801314582161,-0.165109540134232,0.00363108623409079,0.031641499370996
4.5,NaN,199.314409156463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,4.28097158006078,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,81.2413638398525,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1.40201256728566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017308871850204
9,NaN,225.815983258663,NaN,NaN,NaN,0.00223288252561625,NaN,-0.870980494646654,NaN,NaN
10,NaN,NaN,NaN,10.7525075437809,0.00655329905492933,NaN,0.00122675321742425,NaN,0.0742991758106034,NaN
15,1.17213525244683,224.700951204691,77.7398425558795,10.5283373924088,NaN,NaN,NaN,NaN,NaN,0.0283022733299073
20,1.56875579313895,194.461221814877,72.0646213440155,17.1902878984599,0.0176828946498377,0.0159325323118931,NaN,-0.370639566045337,NaN,NaN
25,NaN,204.957653503706,NaN,NaN,NaN,NaN,0.0143355430058337,NaN,0.133062465465354,0.0799678518808848
30,1.29698155182117,NaN,64.837662772108,13.7876356417231,0.0171672672546006,0.0194161597653766,NaN,0.211236976379411,NaN,NaN
35,NaN,207.722369654906,56.8084703510259,11.6497260098573,NaN,NaN,NaN,NaN,0.104245239094302,0.101595288514379
40,1.70315800449782,146.100209477263,NaN,NaN,NaN,0.0169424644243318,0.017740480937367,3.05082728732827,NaN,NaN
45,NaN,NaN,45.596999724754,8.49413859949007,0.0162239950959029,NaN,NaN,NaN,NaN,0.112543597917292
50,NaN,212.500423298278,NaN,11.1988854982746,NaN,0.0133302128532627,NaN,5.27589473728025,0.118743690473513,NaN
55,1.09907481151376,NaN,43.2048707508057,NaN,0.0155311474835259,NaN,0.0170828535078947,NaN,NaN,0.122497484200528
60,NaN,NaN,NaN,12.0049598283127,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,274.785283225885,NaN,NaN,NaN,0.0141659131606685,NaN,9.20378508316921,0.104319820633252,NaN
70,1.88518348005544,NaN,40.9811191481723,NaN,0.0106976840846982,NaN,0.0129944886390221,NaN,NaN,0.138038375124507
75,NaN,NaN,NaN,9.29109870094265,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0408873349562,0.117637560930613,NaN
85,1.35745111797423,NaN,23.9442234092129,7.44079161677778,NaN,0.00864190217142662,NaN,NaN,NaN,0.0908445273481301
90,NaN,NaN,NaN,NaN,0.00740450197213791,NaN,0.00995168859854361,NaN,NaN,NaN
100,1.65847252712682,NaN,19.8936361322047,5.14470329780673,0.0073077700019752,0.00596296046540081,0.00836708667064768,13.1134824492718,0.0815262627264959,0.0781182771251688
150,NaN,NaN,18.1407927155491,NaN,0.00339550692904127,0.00505894258925085,0.00531741685290428,13.1635392057076,0.0665476297350734,0.0441425639093856
200,NaN,NaN,NaN,NaN,0.00277137537444945,NaN,0.00480478083950863,11.7422790171329,0.0501673247090625,NaN
