t,epo_level,CIS_Obs,SOCS3nRNA3_Obs
49,2.5e-09,-0.429330425816965,0.000607923527618747
49,2.5e-09,-0.313349563129035,0.000921073113107979
49,2.5e-09,0.966089488330306,0.00105847372647641
49,2.5e-08,2.62336548377683,0.00257820644064687
49,2.5e-08,2.92457726813651,0.00363097854526693
49,2.5e-08,3.13667070158563,0.00289976461860184
49,1.25e-07,9.66411433489491,0.0063726268146851
49,1.25e-07,10.2722662858056,0.00638884372130522
49,1.25e-07,10.4456701719559,0.00652803446201195
49,2.5e-07,13.5525375152154,0.0075876643898064
49,2.5e-07,13.6530586584387,0.00768928964983489
49,2.5e-07,14.2149987651428,0.00735054595128828
49,1.25e-06,16.3871039915493,0.00835906777342118
49,1.25e-06,17.5284371104672,0.00828484498651487
49,1.25e-06,17.9493328343346,0.00847424139967698
49,2.5e-06,16.8868143848861,0.00862430090239822
49,2.5e-06,17.3811367216346,0.00847023001560129
49,2.5e-06,17.7462023729543,0.00901664534520884
