t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,pSTAT5_Obs
0,-0.0117914001405618,0.012890847031805,23.3557103219611,89.8782644787906,4.19785497378118
10,NaN,NaN,NaN,2.62781491695339,77.695386998064
15,0.0973565176381331,0.144148246105755,27.9797522193216,NaN,NaN
20,NaN,NaN,NaN,0.790942293209616,NaN
25,NaN,NaN,NaN,NaN,42.2839972034177
30,0.088059711833742,NaN,22.5164977612414,NaN,NaN
35,NaN,0.0956707450005563,NaN,10.9400993157378,32.40764553152
45,0.0728442176317128,NaN,23.508524588594,30.0325155113094,NaN
50,NaN,0.0999686920616463,NaN,NaN,23.8240114669706
60,0.0875614724511557,NaN,26.6413031172435,37.8480716578902,NaN
65,NaN,NaN,NaN,NaN,21.4577555562032
70,NaN,0.0939211784088567,NaN,NaN,NaN
75,NaN,NaN,NaN,42.8025876051385,NaN
80,0.0756060928884064,NaN,NaN,NaN,17.2155039052599
85,NaN,NaN,23.0793744529632,NaN,NaN
90,NaN,0.0716646723096086,NaN,NaN,NaN
95,NaN,NaN,NaN,45.0070760192622,NaN
100,0.0836832589237437,0.0733307710738375,25.0026108294674,47.5487589970337,18.5316874384632
150,0.0796597422667146,0.0662412534716382,NaN,62.4257409577896,15.8778402033312
200,0.0816247028599349,0.0636984452287871,NaN,60.2636948790108,14.2533342251721
250,NaN,0.0600522501029259,NaN,60.2275718841583,NaN
