t,EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,-0.00303531139872932,133.610512372775,-0.000619355809033555,88.8359699626005,0.657772047818923,-0.000199586952326195,-6.79638961948764e-05
6,0.0917181005650136,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,53.0265300178974,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.152025296526362,NaN,NaN
10,0.0908814344915264,130.122106571874,0.198377782418033,NaN,NaN,0.00183310931462969,0.0011450658851744
15,NaN,NaN,NaN,54.2094104271731,-0.254891718953434,NaN,NaN
20,0.0660120557800807,136.851257766718,0.264298287745079,57.4220880137997,NaN,NaN,NaN
25,0.0698566255580614,NaN,NaN,NaN,-1.58046326795139,0.00400304699526828,0.00390725977479696
30,NaN,NaN,NaN,57.8227607566135,NaN,NaN,NaN
35,0.0624178694531401,134.703930140278,0.316984313875357,NaN,0.812350864412191,NaN,0.00423064672146819
40,0.0609684869023516,NaN,NaN,61.5899967265706,NaN,0.00418062126409865,NaN
45,NaN,124.75003242837,0.360413613615122,NaN,4.41328105856129,NaN,NaN
50,0.0555228528251713,NaN,NaN,67.8648260402254,NaN,NaN,0.00351006738093795
55,NaN,NaN,NaN,NaN,9.81817620415772,0.00327312516775281,NaN
60,NaN,142.303670476114,0.356963210150294,78.6306099182421,NaN,NaN,NaN
65,0.0420871316382627,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,19.4114802474651,0.00254465155845725,0.00296667945403006
75,NaN,127.797982498544,NaN,88.8072901343261,NaN,NaN,NaN
80,0.050989571067952,NaN,0.364685083775858,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,78.63715489042,30.1641276233746,NaN,0.00190978229236708
90,NaN,NaN,NaN,NaN,NaN,0.00181489304985705,NaN
95,0.0475947037991072,129.724698338459,0.369446647130527,NaN,NaN,NaN,NaN
100,NaN,140.822700148409,0.335357057391763,88.4479900844879,38.8363144563459,0.00145879105266536,0.00157299742357407
150,NaN,135.49014534349,0.377983396725139,86.0812493355552,48.2006301058408,0.00102282180901619,0.000967271275374977
200,NaN,119.841133051913,0.391695245657596,NaN,44.8611554604207,0.000989402959078691,0.00111663402937806
