t,SHP1_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,23.566220449096,0.629654682839916,-0.0920734625539529,1.68116425059153e-05,6.67713330462062e-06,2.87762618159859e-05
6.5,26.8945226524606,NaN,NaN,NaN,NaN,NaN
10,NaN,-14.2959366273665,-0.0375735662603968,NaN,NaN,NaN
15,22.7930461807158,NaN,NaN,NaN,3.70337369286223e-05,NaN
20,28.335350692369,NaN,NaN,0.000110571818915314,NaN,6.90195013788548e-05
25,NaN,-8.13509310054979,-0.0625680145757849,NaN,NaN,NaN
30,24.7475218645585,NaN,NaN,NaN,NaN,NaN
35,22.7257158411546,NaN,NaN,NaN,0.000231177377231719,0.000219092811670765
40,NaN,27.3090708336617,0.0655240314343169,0.000244521675547894,NaN,NaN
45,21.1535364502902,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.114470611184055,NaN,0.00032242599158978,NaN
55,NaN,69.1015929064328,NaN,NaN,NaN,0.000314090964641462
60,24.1901547690845,NaN,NaN,0.000316960845235159,NaN,NaN
70,23.50736961712,141.32137697065,0.852088425544639,NaN,0.000332054068965707,NaN
80,NaN,NaN,NaN,NaN,NaN,0.000293468935459767
85,23.9023904121271,206.557329810795,1.75355440666766,0.000295122674352977,NaN,NaN
90,NaN,NaN,NaN,NaN,0.000254344684801037,NaN
100,26.7880399288714,236.189194138421,2.61292824068219,0.000291448599116711,0.000257954283370152,0.000279949676085664
150,NaN,211.937261542581,4.70792724946988,0.000223082869538788,0.000215452335671006,0.000208664841595807
200,NaN,166.00832954129,5.88602842113558,0.000193819267003051,0.000171433951047951,0.000168341319423526
250,NaN,172.483332123828,5.98512037893299,0.000201287684577703,0.000201141628225303,0.000191937724566162
300,NaN,146.488154282768,6.01961857522601,0.000200045276723488,0.00019423850822575,0.000189446501810722
