t,SHP1_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,26.4653632434702,-56.7082595325005,760.553880769988,7.59327020411499e-06,-1.23403829714524e-05,-3.44194007884994e-05
10,NaN,NaN,752.632099584697,NaN,NaN,NaN
15,24.7536636601674,5.14447267933211,NaN,0.0014040655401622,0.00115065137642582,NaN
20,NaN,NaN,NaN,NaN,NaN,0.00167436650186353
25,NaN,187.412955363207,785.773922072921,NaN,NaN,NaN
30,23.9400459219515,NaN,NaN,0.00339050740218828,NaN,NaN
35,NaN,NaN,NaN,NaN,0.00369374070055286,0.00377006353454607
40,NaN,431.311417096699,780.382493969958,NaN,NaN,NaN
45,24.9335824659567,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.00409973841541235,NaN,NaN
55,NaN,1535.78418657196,697.56536710398,NaN,0.00391399426889092,0.00389375243119045
60,25.2834630542727,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.00350073517286717,NaN,NaN
70,NaN,2234.47205749326,716.504424877617,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00335317791557011,0.00348445112103114
80,23.4683166938205,NaN,NaN,NaN,NaN,NaN
85,NaN,2907.98916443515,804.840391052415,0.0028572937755927,NaN,NaN
100,26.7388671014618,2962.50265466679,761.282795179663,0.00247441856335775,0.00269606558921622,0.00256184527796675
150,26.6534074417242,2124.1299758127,780.4500369992,0.00193774730871647,0.00200478868822785,0.0018440935442582
200,26.1684771181576,1347.23729954729,818.402860891456,0.00187343485792222,0.00173819042814167,0.00190920452568897
250,25.0055595615369,1427.38887602082,846.035969115402,0.00177527582995402,0.00172551957973235,0.00200736858847236
300,24.0086562773306,1646.45683288723,743.956939301288,0.00166389878657277,0.00201938456182425,0.00175501234133329
