t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,-0.00622448672216582,0.00448527737726933,121.757344069155,101.02730780387,-0.400846154865085,-0.000215761397200314,-0.000149601014940648
5.5,0.100151873749531,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,67.6832148209866,-1.43630450283338,NaN,NaN
10,0.0950370127780911,0.0870452772240715,122.316509776406,NaN,NaN,NaN,0.00120900372230767
15,NaN,NaN,NaN,NaN,NaN,0.00297563381480432,NaN
20,0.0751899248266047,0.0527243822117143,130.422337348051,61.3933478466883,2.1052291837322,NaN,NaN
25,0.0771554542796852,NaN,NaN,NaN,NaN,0.00407855760457825,0.00398453254722247
30,0.0637433269466071,0.0351126129567647,143.800447136505,57.9071426568764,1.7693586224476,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,0.00422344317699589
40,0.0655050925224768,0.0262242123129939,NaN,66.3840798448824,1.90240851769934,0.00393401259843462,NaN
45,NaN,NaN,121.365752283941,NaN,NaN,NaN,NaN
50,0.0531039435206247,NaN,NaN,74.2151819420023,6.90294747677732,NaN,0.00377711796455396
55,NaN,0.0202918069043764,114.638278467752,NaN,NaN,0.00364595215876014,NaN
60,NaN,NaN,NaN,86.6627320450138,NaN,NaN,NaN
65,0.0538001358472298,NaN,NaN,NaN,16.4661187025422,NaN,0.0029622329484429
70,NaN,0.0217518960578093,121.343364484996,NaN,NaN,NaN,NaN
75,0.0537120666656431,NaN,NaN,72.8811066338042,NaN,0.00234263061789549,NaN
80,NaN,NaN,NaN,NaN,27.0965495045852,NaN,0.00197541191451306
85,NaN,0.0229221197429257,147.176213122911,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,81.2695845364927,NaN,NaN,NaN
95,0.047733879258534,NaN,NaN,NaN,NaN,0.00150654483968779,NaN
100,NaN,0.0174588627133318,132.506217812679,89.3514471196767,39.8144139541209,0.00157920913746761,0.00158242853148847
150,NaN,0.0179178447722702,134.974939521014,84.6576060403865,49.4117748663415,0.00115293585308187,0.000765374290671467
200,NaN,0.0215878101946341,123.526814780607,92.4479675531927,47.3275850044557,0.000896261350309239,0.000994205982316176
