t,epo_level,CIS_Obs,SOCS3nRNA3_Obs
6,2.5e-09,-2.0981780228386e-06,-3.9641127357127e-05
6,2.5e-09,1.08017851393697e-07,-2.01099605960916e-05
6,2.5e-09,2.37449085670211e-06,3.92508137203085e-05
6,2.5e-08,9.80428727467291e-07,-6.17950178397579e-05
6,2.5e-08,2.0059027475027e-06,-6.3401556348551e-05
6,2.5e-08,2.41810544782387e-06,2.01447006723594e-05
6,2.5e-07,4.55578209886889e-06,0.000434364544016001
6,2.5e-07,5.02119001523728e-06,0.000388061934112544
6,2.5e-07,5.29472575174002e-06,0.000441783062916201
6,2.5e-06,4.47240522323193e-05,0.00152220070171395
6,2.5e-06,4.61050486874641e-05,0.00138945300515383
6,2.5e-06,4.74518728366624e-05,0.00147291552601744
6,2.5e-05,8.63964484466623e-05,0.0018079613366067
6,2.5e-05,8.75295231080048e-05,0.00184085328807091
6,2.5e-05,8.86778061459064e-05,0.00191124368907886
