t,epo_level,EpoRpJAK2_Obs
6,2.5e-09,0.00731599271078258
6,7.905e-09,0.0174042071573526
6,1.25e-08,0.0210604152406461
6,1.25e-08,0.0213254189357532
6,1.25e-08,0.0269152411473293
6,1.75e-08,0.0203181400570574
6,1.75e-08,0.0297821787921662
6,1.75e-08,0.0339252040407079
6,2.5e-08,0.0235247937670469
6,3.95e-08,0.0429239191418841
6,3.95e-08,0.0446060021959352
6,3.95e-08,0.0461279796532621
6,7.9e-08,0.0689294988934935
6,7.9e-08,0.0699409244995741
6,7.9e-08,0.074185608406099
6,1.25e-07,0.0925044484384178
6,1.7675e-07,0.125104091082855
6,2.5e-07,0.155561545892613
6,7.905e-07,0.317806971672518
6,2.5e-06,0.620939990344355
6,2.5e-06,0.622878258062757
6,2.5e-06,0.625391319142683
