t,epo_level,SHP1_Obs,SOCS3nRNA1_Obs
100,2.5e-09,24.4834486299728,0.00251906116482025
100,2.5e-09,24.5200190874297,0.0025826134616664
100,2.5e-09,27.2293684405731,0.00260498227749951
100,2.5e-08,20.2951779051044,0.00407809036361886
100,2.5e-08,25.266419259102,0.00442321729206642
100,2.5e-08,23.5813428076648,0.00489632939526894
100,1.25e-07,24.8811691701952,0.00293489339224285
100,1.25e-07,24.6921767744132,0.00266598803605885
100,1.25e-07,27.3733772688587,0.0028343602045695
100,2.5e-07,24.8222849017046,0.00130460218317246
100,2.5e-07,26.801650005323,0.00149367004586151
100,2.5e-07,20.3593022233733,0.00129356203237838
100,2.5e-06,28.3671802536386,0.000632847799986064
100,2.5e-06,22.2752700641408,0.00073759273068575
100,2.5e-06,20.3471146908494,0.000744211706504554
