t,EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.00442793981827826,23.3951378318415,0.00968184136487977,92.428299702834,2.87057501095478,0.00029469723132264,-0.00069821335091491
5.5,NaN,NaN,NaN,31.692255999417,NaN,NaN,NaN
7,0.107104901420592,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,-3.75075217454927,NaN,NaN
10,NaN,23.4804448953419,0.0534699095440883,21.3406075857583,NaN,NaN,NaN
15,0.101062063418647,NaN,NaN,28.0293040683608,-4.18458002888567,0.00532244440432809,0.00432656821882346
20,0.0865381805282658,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,27.2386054172376,0.134733583682792,28.8193739073102,1.32252184891473,0.00756946036422045,0.00663286415250779
30,0.0900155125646365,NaN,NaN,41.7620955298379,NaN,NaN,NaN
35,NaN,23.4329215058432,0.113958352359683,NaN,0.546299610908554,NaN,NaN
40,0.0823394390753223,NaN,NaN,37.2994275353977,NaN,0.00620721120360471,0.00716484052026892
45,NaN,NaN,NaN,59.4346234328329,7.89486429569803,NaN,NaN
50,0.0788296076626954,27.3551593118727,0.121060984934707,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,60.8159793002481,19.3843894847413,0.00568948640212007,0.00545881103126234
60,0.0655728920534882,NaN,0.144561348727935,NaN,NaN,NaN,NaN
65,NaN,28.2221187427065,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,70.6955159540916,36.1609739553273,NaN,NaN
75,0.0755612474765296,NaN,NaN,NaN,NaN,0.00336765605852358,0.00396418571207547
80,NaN,26.8166990512819,0.139561545115061,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,73.1606427374952,52.504617374839,NaN,NaN
95,0.0784764940094727,NaN,NaN,NaN,NaN,0.00246348957699416,0.00287920751800508
100,0.076181526684716,25.1900838700524,0.139426928555171,82.1965345300427,63.4223720129547,0.00195207686040911,0.00256323574085935
150,NaN,24.9192046319976,0.146572881050565,NaN,83.6080111678163,0.00146801580794935,0.00141746771206187
200,NaN,23.0007560489268,0.141094772601723,NaN,72.6969795452208,0.00144993026122792,0.00183750262877816
