t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,CISRNA_Obs
0,-0.00568477447274642,-0.00407889726217619,-0.00109294391841376,28.9693127614685,-0.00802820861197058,89.2935458663655,-0.700841670866338,193.189365968641,-88.9335318398387,90.8870702222046,1.15580387551943,6.98820528314756e-05,-0.00051645354283843,0.000115532407295285,-0.00030610320375652,0.000361716461816793,0.00670167387154546,0.00905699757286503
10,NaN,NaN,NaN,NaN,NaN,NaN,52.6547389841089,878.870708630334,112.330799957952,-34.204384347049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,23.8912091741177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.111364255221302,NaN,25.9209042066139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00650253283679512,0.00614747606896415,NaN,0.00511484527909026,0.00508962953174293,NaN,-0.00154294542707465
25,0.100614863139679,NaN,0.107399512647507,NaN,NaN,NaN,34.2670009015524,3961.02084466404,3053.08023372068,333.292555360662,NaN,NaN,NaN,0.00685765149883712,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.0925629229920546,46.0302033220836,NaN,NaN,NaN,NaN,-2.51320054093898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,23.8560351409616,NaN,NaN,22.5019587063013,NaN,NaN,732.636300513546,NaN,NaN,NaN,NaN,0.00735632657389448,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5469.20375611808,4489.64161793652,NaN,NaN,0.00710526793969699,NaN,NaN,NaN,NaN,0.0758027556897425,NaN
45,0.0812099303132216,0.0664389161540071,0.0429659592575367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00670822913537198,0.00677567815276396,NaN,0.00699077932488836,NaN,0.124059034227944
50,NaN,NaN,NaN,NaN,NaN,57.856305095647,13.6070400069962,NaN,NaN,2779.99976435343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5001.48802386547,5319.69498608988,NaN,NaN,NaN,NaN,NaN,0.00622867291809202,NaN,NaN,NaN
