t,PKDDAGa_Obs,CERTERa_Obs
0,108.033298693001,21409239.7750956
3,191.463395639419,NaN
3.5,NaN,86502887.4297928
5.5,222.986655770993,NaN
7,NaN,90045415.6118947
8.5,269.494524844123,NaN
10,303.180395338545,101921265.068945
15,358.295111507119,131388983.86128
20,469.162524010668,138683055.778173
25,357.655211544029,159541805.645497
30,386.184003356113,167302852.005487
35,445.213593181314,172800441.835087
45,484.095490122939,199066101.160022
55,570.853245563421,209209495.033843
65,609.315213534036,218154023.209666
