t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me3K36me0_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs
0,0.00167102388636779,0.00558886884874529,0.112347186268046,0.00708471456972665,0.0074499673930782,0.676121594830028,0.001934301288182,0.019045649522609,0.00140862280031257,0.00236208564011075
0.35,-2.02351829773584e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7,-2.6118167951849e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-4.90378376717801e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,-9.64590538188003e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,3.43028745002228e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,7.61631240975254e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,-1.66017653710395e-05,NaN,NaN,0.00427398235875673,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0.00100315843940621,0.0898266460904844,NaN,0.00586953873457711,NaN,NaN,0.0173754712343955,NaN,0.00248891211236632
4.5,NaN,NaN,NaN,NaN,NaN,0.45945285732824,0.00174674084721526,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00131842867947546,NaN
6.5,NaN,NaN,NaN,0.0054777505071855,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00340510059491644
8,NaN,NaN,0.0670161554034995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.00073819260098887,NaN,NaN,0.00668080984026683,NaN,NaN,0.0239930171733536,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.628758813577023,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00196115261321667,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00603319880207973,NaN,NaN,NaN,NaN,0.00133093276979845,0.00319830070883498
15,NaN,0.000480522780157694,0.0352067736042089,0.00610847955967184,0.00726142946438692,0.648996543672941,0.00189332557581425,0.0215476029348601,0.00168008692564087,0.00378620247467153
20,NaN,0.000353375743993988,0.0310782748558921,0.00629429787712548,0.0063372412109558,0.72510883333653,0.00167443886665831,0.0181113562336852,NaN,0.0038037029862692
25,NaN,9.73308959028717e-05,0.0202571157122206,0.00566782718146777,0.00544084850921758,NaN,NaN,0.0199418877159965,0.00124214895517295,0.00390809066125275
30,NaN,4.49804779233742e-05,0.0145082861337267,0.00588107556456299,0.0055878927674101,0.69930655866163,0.00172790897984235,0.028590253789706,NaN,NaN
35,NaN,NaN,NaN,0.00755420631578762,NaN,0.684864511694997,0.00216091656847192,NaN,0.00143810003453781,0.00399218509099365
40,NaN,0.00014824037786672,0.00736556426499635,0.00473482224366085,0.00465479617948644,NaN,NaN,0.0224749280584773,NaN,0.00375089636145421
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00123960436121973,NaN
50,NaN,6.180726917147e-05,0.00976621296027892,0.00645494281980629,0.00688482656827394,0.692938581368749,0.00196948194278098,0.0274531440897398,NaN,0.00353719804312592
60,NaN,-4.92569431024782e-05,-0.00469331066574119,0.00604319074129422,0.00687360599085114,0.719378005192542,0.00234084424549613,0.0233112403223408,0.00160280523137515,0.00453818535838516
