t,IR2_Obs,IR2in_Obs
0,0,1.0025069344302
3.5,314.05242221808,NaN
5,NaN,625.225783479115
7,181.297862242951,NaN
10,176.255813827542,661.371843751488
15,116.226342829682,642.667932160361
20,116.507299778701,691.558913597194
25,122.329549291917,NaN
30,125.920518440497,658.429564212988
35,NaN,663.005465388101
40,141.947249762796,NaN
45,119.924178158103,844.152290799319
55,110.160629379493,814.342265248429
65,NaN,746.226788785313
75,NaN,730.432468124863
90,NaN,623.507348993054
100,NaN,767.824189653439
