t,IR2_Obs,IR2in_Obs
0,0,0.0907922177755039
5.5,11.8303377856374,NaN
9,NaN,29.3575886638505
10,9.77186842439532,NaN
20,8.15154136565374,40.8290065417807
25,6.64582326186549,NaN
30,5.9229475560002,54.1871120348832
40,6.29988995822202,37.6907582719334
45,5.57974139476994,NaN
50,NaN,43.666371932425
55,6.10801397852988,NaN
60,NaN,39.0071881768302
70,4.83346827476831,NaN
75,NaN,37.0523393200498
80,5.7844078105204,NaN
90,NaN,37.7033935521083
95,4.4239709262244,NaN
100,4.48432748534364,39.4865750921249
150,2.67645594645553,25.6251701326366
200,NaN,17.8337095195291
