t,IR2_Obs,BoundUnspec_Obs
0,0,0.0110219749289823
5.5,1.36812358480565,NaN
6,NaN,3.60989045299975
10,1.01899055874514,NaN
15,0.807158061409267,2.84874687617924
20,NaN,2.54151306755842
25,0.65268654049568,2.25955717806315
30,0.777238266960894,NaN
35,NaN,1.92953521036161
40,0.654997785734756,2.41936108677649
45,0.615781596881614,NaN
50,NaN,1.69159198691238
60,0.635513772128721,1.72767250121508
70,0.666537519611835,NaN
75,NaN,1.59611436699598
85,0.383938199097692,NaN
90,NaN,1.41405869683648
100,0.404006218731237,1.31760663930611
