t,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me2K36me1_Obs,K27me3K36me1_Obs,K27me3K36me2_Obs
0,0.00837770604182746,0.0034499099399676,0.140122354007308,0.0249378915031621,0.00565477519285178,0.00145619256106775
3,NaN,NaN,NaN,NaN,0.00455375722182298,NaN
3.5,NaN,0.00262712774276089,NaN,0.02405217193451,NaN,0.00168866073583908
4,0.00260238547422629,NaN,0.112434558003331,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.00517604979859258,NaN
7,NaN,0.00260635596829471,NaN,0.0207305534535208,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.00195045145002002
8,NaN,NaN,0.0885101001503468,NaN,NaN,NaN
8.5,0.00216348320842127,NaN,NaN,NaN,0.00489289919035425,NaN
10,NaN,0.00203403264164962,NaN,0.0185968084693843,0.00602034224950079,0.00185889967470389
15,0.00158902981069533,0.00215985194661402,0.0633072915362423,0.0169731416940469,0.00551609117642231,0.00178203813386012
20,0.00131532551368855,0.00231580594840632,0.0616736824042822,0.022179235846009,0.00453483665369376,0.00176506256380896
25,0.000963768098427512,0.00215539832923438,0.0560103796131132,0.0203526449584458,0.00463646122202155,0.00161020431471906
30,0.00063306514036274,0.00242344666205894,0.028255535366038,0.0188215114545289,0.00521954847665056,NaN
35,NaN,0.0023672985593639,NaN,NaN,NaN,0.00155769853884685
40,0.000354951231316266,NaN,0.0263889085063629,0.022067619634672,0.00404682368109732,0.00149808818378428
45,NaN,0.00243729918009588,NaN,NaN,NaN,NaN
50,5.12255627496418e-05,0.00208259864595244,0.00744186594611698,0.0197382589969618,NaN,0.0018362206667438
60,0.000159007218179063,0.00256368522642033,0.00165231719078005,0.0215954225942746,NaN,NaN
