t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,nucpBpB_Obs
0,147.422442752253,63.0916666590202,0.0434545349232123,1.40366548048225
15,NaN,NaN,22.813880806533,40.7746983337076
20,11.811723590899,7.94112614705575,NaN,NaN
30,NaN,NaN,22.4613217605437,38.7819784122522
40,16.0041635370889,6.1506604316154,NaN,NaN
45,NaN,NaN,22.7556302712913,35.6791568549419
60,14.0603354439357,6.88904604395195,19.0907219270266,NaN
65,NaN,NaN,NaN,30.7098515363855
80,22.7059630962653,NaN,14.8004115629716,NaN
85,NaN,8.23671147221987,NaN,28.1846404183062
100,22.4917994452389,8.38613803493911,14.5388635889264,24.3270808931845
150,27.8083989023123,8.87034545412129,9.9956568471411,19.6608782156879
200,39.3628712569082,10.4260671350421,5.73095121558961,10.6371752564011
250,58.7997658476729,10.0633971104163,6.38320474788038,6.47248341717758
300,59.0147977239658,12.832888657591,5.42756250704482,6.91637079117309
350,59.3677594933298,13.4716647983542,NaN,5.12811310231075
400,NaN,10.5419395371155,NaN,NaN
450,87.1437075330516,NaN,NaN,NaN
500,83.4565697489519,11.8720537044534,NaN,NaN
