t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,57586983.3445875,65069.2313693595,-7.03875878764789e-09
35,4643733.2418322,16505912.9153349,NaN
65,NaN,12469457.5730459,NaN
70,1171330.43509096,NaN,NaN
100,451413.956780515,5650370.90169854,NaN
150,-699430.272368808,1034469.82651163,NaN
200,408137.196746325,232434.090681175,NaN
250,-362484.334759995,289517.85535354,NaN
300,503122.082257551,NaN,NaN
350,-464352.495957781,45633.8453095248,3.23371901706815e-06
400,NaN,313949.887537086,NaN
450,172890.160888043,-17646.1327047209,NaN
550,NaN,893.471077855793,NaN
650,NaN,3563.47536586975,NaN
700,NaN,NaN,2.4675014126702e-06
1000,NaN,NaN,2.1416843831442e-06
1500,NaN,NaN,2.53467135427792e-06
2000,NaN,NaN,2.60824681608487e-06
