t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,57884346.7303642,20438.755973819,-6.08491734110127e-07
45,20854930.3041728,NaN,NaN
50,NaN,10710792.4105434,NaN
90,7027992.32757203,NaN,NaN
95,NaN,8483960.43720799,NaN
150,3149289.24628996,3406384.66263807,NaN
200,-545631.736157109,1165257.11785848,0.000585300188372674
250,NaN,543876.758887707,NaN
300,-491739.611229169,NaN,NaN
350,-886934.676655582,121295.914281149,NaN
400,NaN,27666.044889917,NaN
450,-69782.6498811014,NaN,1.18836492631031e-05
500,NaN,-96207.1486744756,NaN
600,NaN,-136538.677611467,NaN
700,NaN,NaN,3.90433583919391e-06
750,NaN,-2844.41449295158,NaN
900,NaN,-425.526006462874,NaN
950,NaN,NaN,2.43501292711843e-06
1500,NaN,NaN,1.14740865572277e-06
2000,NaN,NaN,4.18483626438929e-06
