t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,58179560.3175873,2175.59798410923,6.17638787015029e-06
250,NaN,659766.167802401,NaN
300,34391320.0619987,NaN,NaN
400,NaN,NaN,0.000470754306842946
550,22352449.5220622,409593.861475795,NaN
800,NaN,NaN,0.000263056543270557
850,NaN,234780.689773528,NaN
900,12138526.8903578,NaN,NaN
1000,10634018.6755176,195572.852578608,NaN
1500,4597954.29938505,91288.7972842381,0.000104385542617507
2000,1994207.04639536,42124.5906745312,5.42980060480658e-05
2500,112938.32516097,10327.7724790918,2.20586101005757e-05
3000,129563.163018092,9292.50972610989,1.81043326957714e-05
4000,638096.319426762,5712.90256157912,NaN
4500,-704528.918051557,3921.32818885549,NaN
