t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,57600077.9520461,61274.8315972088,-3.77094040508153e-06
55,36707911.8943222,NaN,NaN
60,NaN,5249078.81266348,NaN
100,24904443.9340053,5240256.9506142,NaN
150,16419766.2145926,NaN,NaN
200,NaN,2837910.55870506,0.000870059518628742
250,6918534.01593758,1902076.19234504,NaN
300,5320916.23143092,NaN,NaN
350,NaN,946067.891084849,NaN
400,3180167.40028497,NaN,NaN
450,1568678.12712379,389294.5731273,0.000272757464226784
550,-195434.857796264,138618.989068401,NaN
700,-145704.309842844,-46988.8908082308,6.34821949026814e-05
850,-621886.968275681,181903.134711739,NaN
950,NaN,NaN,-3.63381222780523e-06
1000,812602.248196531,-72607.0102806642,NaN
1500,NaN,NaN,9.45713688789503e-06
