t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,55609626.3446394,1698.66078431012,-3.96586878256263e-06
85,44739927.8188484,NaN,NaN
150,35362343.6322504,NaN,NaN
200,NaN,1687225.6129275,NaN
250,25879943.9620114,NaN,NaN
350,17892756.9669818,1106163.98817031,0.000627015678243111
450,14281189.9261218,NaN,NaN
550,NaN,565057.744747155,NaN
600,10136489.532191,NaN,NaN
700,5942804.20672235,NaN,0.000290669702593608
750,NaN,314300.36553379,NaN
900,4625025.48144764,NaN,NaN
950,NaN,169631.860274879,NaN
1000,2214567.12629045,133567.419061597,0.00013497102507447
1500,975935.906540132,58413.8038556372,3.02915416550083e-05
2000,NaN,19379.8665660125,1.19381182011293e-05
2500,NaN,12737.8257840799,7.03263131378267e-07
3000,NaN,-9227.82021934516,NaN
3500,NaN,NaN,-4.28611509300096e-06
4000,NaN,NaN,-1.95451068002083e-06
