t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs
0,57423790.8410642,-77847.8391252964,3.31139979691143e-07
35,194512.95001096,19126262.1558265,NaN
75,-234958.693047025,8194071.97774675,NaN
100,2816.17318740819,3888349.47051682,NaN
150,-422423.144328729,560743.32772536,NaN
200,-225755.646805612,310995.486746693,0.000115421924876742
250,-235345.175300685,102172.332608115,NaN
300,NaN,201926.437632778,NaN
350,-216258.019784606,NaN,NaN
400,-318141.091380392,-24058.0649830717,NaN
450,NaN,NaN,2.60047605940625e-06
500,NaN,-185086.969769429,NaN
600,NaN,-5457.66674166874,NaN
750,NaN,NaN,2.91849316801718e-06
1000,NaN,NaN,2.33393711499241e-06
1500,NaN,NaN,1.74100662520979e-06
2000,NaN,NaN,4.91113995651173e-06
