t,EpoR_Obs,dEpo_i_Obs,Compound_1_Obs
0,561.208330865918,-0.556599560461921,1090.97406412578
25,214.85239215348,NaN,NaN
30,NaN,26.0866173285327,543.737965410257
55,199.101277936496,NaN,NaN
60,NaN,-0.269266939397866,NaN
65,NaN,NaN,695.276949095893
80,211.961293623074,NaN,NaN
95,NaN,20.161034605358,578.01991786302
100,286.013814600953,NaN,NaN
150,313.07891428006,61.7587597567588,684.049740037205
200,345.991967078461,93.6447958597339,586.372008440684
250,350.498480667976,92.0843980521661,718.464510637211
300,438.115961808106,125.284340417358,823.901295431766
350,NaN,113.781809564783,950.312953972402
400,556.613025489161,NaN,NaN
450,570.755512369979,133.222849095837,834.541321614228
500,NaN,NaN,927.110622773135
550,661.388088426553,141.768742846878,NaN
600,NaN,NaN,935.058191990082
650,NaN,131.215556316801,NaN
750,NaN,NaN,1017.93134119324
