t,npSTAT_npSTAT_Obs,nSTAT3_Obs
0,0.00620715966738456,0.00706580582288805
7,NaN,0.0895054520656873
10,0.108448354937971,NaN
15,NaN,0.188104674829999
20,0.0960846169054245,0.195311812826697
30,0.0902153170429521,0.162336738367938
40,0.064926191461594,0.154431676752535
50,NaN,0.103278135262228
55,0.0231827150819659,NaN
60,NaN,0.032450253071736
65,0.0179329587384462,NaN
75,NaN,0.00913781896530123
85,-0.00154061868873262,NaN
90,NaN,0.0112999135806111
100,-0.00440972182251708,0.0241900043694538
150,-0.00381298421440699,NaN
200,-0.00261409345745166,NaN
