t,Z_mRNA_Obs,GFP_mRNA_Obs
0,552.726310126152,7.40846434865414e-06
5.5,NaN,-3.00204735764039e-08
10,NaN,-1.2782840023453e-08
20,4.40167613626968,1.37506560627714e-08
25,NaN,-5.15642218742745e-08
35,NaN,-1.14359488948321e-08
40,NaN,6.08482330887639e-09
45,-1.71197924677981,NaN
50,NaN,8.12492582853025e-08
65,0.173326857578689,1.96343039764554e-08
90,5.08458900799628,NaN
100,-7.07815108651433,NaN
150,0.282534032899673,NaN
200,-0.201388292921469,NaN
250,6.88195411971062,NaN
300,0.763007500106668,NaN
400,0.58399313555545,NaN
