t,Compound_1_Obs,Compound_2_Obs
0,0.971550441851178,0.994900046574609
6.5,NaN,0.257396858624939
8.5,0.377699536208638,NaN
15,0.187141935248498,0.236569571448853
20,NaN,0.419099852661918
25,0.407034936674359,NaN
30,NaN,0.3320342586165
35,0.33209906747811,NaN
40,NaN,0.532058751494262
45,0.677638748904039,NaN
50,NaN,0.674217162228832
55,0.799064933730654,NaN
60,NaN,1.07852325686848
70,1.07108052507065,0.999126140866874
85,0.98636555711821,NaN
90,NaN,1.06763164690245
100,0.89257619812473,1.03902944097993
150,0.906469383822517,NaN
