t,STAT_Obs,pSTAT_Obs,pSTAT_pSTAT_Obs,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT3_Obs,nSTAT4_Obs
0,1.10548657552766,-9.31032867957549e-05,-0.00899497450182057,0.000310076992545659,-0.00474091997701284,-0.00206304139005187,-0.00320306374876697
4.5,NaN,0.00413976369563127,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,0.0823187063307051
6.5,NaN,NaN,NaN,NaN,NaN,0.116873016348033,NaN
7,NaN,NaN,NaN,NaN,0.13451034258897,NaN,NaN
8.5,NaN,NaN,0.36550583628567,NaN,NaN,NaN,NaN
9,-0.0216749647794661,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.00510836861956405,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0639581086345587,NaN,NaN,0.135496142410233
15,NaN,0.00535619613772723,0.357124773502526,NaN,0.120535832537954,0.128015351809791,NaN
20,-0.0566171415226335,0.00555885163869962,NaN,0.0646667662186409,0.122944060831248,0.125367345888464,0.127934877224815
25,-0.0486452407346473,0.00544631797079576,0.366042121708078,NaN,NaN,0.125300817443839,0.127617064852404
30,NaN,NaN,NaN,NaN,0.124636029864936,NaN,NaN
35,0.0561326894002983,0.0045788688631183,0.322645233749159,0.058720840411817,NaN,0.123395394423378,0.119963687854853
40,NaN,NaN,NaN,NaN,0.102164942440261,NaN,NaN
45,NaN,0.00191323861984559,0.188275761446244,0.0386851752782496,NaN,0.0906506701053775,0.0856684530691881
50,0.605317108524421,NaN,NaN,NaN,0.060963229697638,NaN,NaN
55,NaN,0.000817677245914105,0.11866096033866,NaN,NaN,0.0440400158872708,0.0358388608136845
60,0.892517290248805,NaN,NaN,0.0146702454276973,0.0278088855815762,NaN,NaN
65,NaN,0.000338083775856046,NaN,NaN,NaN,0.0259147079819925,0.0269769950970882
70,NaN,NaN,0.0293898397866322,NaN,0.0168604582002917,NaN,NaN
75,0.955744795675436,NaN,NaN,0.00465961813485833,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.00680752273902691,0.0134361504028812
85,1.09802471571614,NaN,0.00797100069359652,NaN,0.00184419011052726,NaN,NaN
95,NaN,NaN,NaN,-0.000174255962519336,NaN,0.00774895236728414,-0.00505887539164027
100,0.945852455807956,NaN,-0.00506896169381664,0.00156471246526678,0.00325747749130399,0.00376842388055116,NaN
150,1.06873047794682,NaN,0.0125870009562241,0.000215420897589261,NaN,NaN,NaN
200,0.975737784306944,NaN,NaN,NaN,NaN,NaN,NaN
