t,AC_Obs,Rp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,AC_Fsk_Obs
0,0.977795868698924,0.0870718610419753,0.0342304715701515,-0.0265732222745258,0.0450763296759507,-0.0375198673951568
7,1.05926231662153,NaN,NaN,NaN,NaN,NaN
15,1.01216075805891,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,-0.00766801996768854,-0.0267058540709836,-0.00570392927376919,0.0268568853490362
25,1.04481669320399,0.0178057803086427,NaN,NaN,NaN,NaN
30,1.0031738975276,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,0.00467223802676736
40,NaN,NaN,-0.0599682733819477,-0.0191563411844104,0.0733698112623457,NaN
45,1.01651086331692,NaN,NaN,NaN,NaN,NaN
50,NaN,0.00916281703347134,NaN,NaN,NaN,NaN
55,NaN,NaN,0.050895997230487,NaN,NaN,0.0124271626182812
60,NaN,NaN,NaN,0.035608994215204,-0.00700662569181953,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0067949439392908
80,NaN,-0.00558782793647088,-0.0259987985242478,0.0146275721013987,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0297362327873326,NaN
95,NaN,NaN,NaN,NaN,NaN,-0.0181747827525614
100,NaN,0.0102976699963286,0.0418509701730033,0.0167417150506986,0.0486265878770108,0.0771914766704111
150,NaN,0.0413119973214715,0.0381881850661501,-0.0289099047761166,-0.0114835712773757,-0.0165362587338303
200,NaN,0.0573760762322972,-0.0596605810784866,-0.00857665522345612,0.0248206401840776,0.00242618272689491
250,NaN,NaN,-0.0490712528453331,-0.0392521938690528,0.0297639489201914,-0.0246854588870897
300,NaN,0.0807006054829679,0.00828077280310758,0.048149155995042,0.0115089999946512,0.0444959596832433
350,NaN,0.0936224792519919,-0.00873263448873345,-0.00703147304715868,0.0325808638811631,0.00715907931200382
400,NaN,0.0643682586741351,NaN,0.0341008072511982,0.0021284794104114,NaN
