t,AC_Obs,RIIp_2_Obs,AC_Fsk_Obs,cAMP_Obs,pAC_Fsk_Obs
0,1.02854852754965,0.157454663340534,-0.0120513983053361,0.304444742134474,0.0258463363492411
3.5,NaN,NaN,NaN,21.7566599381543,NaN
4,NaN,NaN,0.553300847925862,NaN,NaN
4.5,0.455468902048777,NaN,NaN,NaN,NaN
5,NaN,0.306518789162864,NaN,NaN,NaN
7,NaN,NaN,NaN,22.0051205305213,NaN
8,NaN,NaN,0.582122735727547,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-0.0168670202718627
9,0.413458648997872,NaN,NaN,NaN,NaN
10,NaN,0.34661841936161,NaN,22.2024641553176,NaN
15,0.439260323146721,0.362750227326679,0.609617277079325,23.0560468313186,0.0160224709431987
20,0.472099849316199,NaN,0.567318509376664,23.4652692580645,NaN
25,0.42253955312361,0.364849301988262,0.540400367813021,23.1837900083266,-0.0481064066918592
30,NaN,0.356599839959583,0.580835413326892,NaN,NaN
35,0.452649990563706,NaN,NaN,22.3849778865055,-0.0344453900129862
40,NaN,0.327661363063471,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.0359887978222285
60,NaN,NaN,NaN,NaN,0.0910194203019069
80,NaN,NaN,NaN,NaN,0.0163644679332189
95,NaN,NaN,NaN,NaN,0.0387372217355374
100,NaN,NaN,NaN,NaN,-0.0547860414354419
