t,RIIp_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,AC_Fsk_Obs,RII_C_2_Obs
0,0.151521416729662,5.49339121068004e-05,-0.0746383331090002,-0.00535108196194349,0.0134283780336734,0.451875457116987
3.5,NaN,0.0111932810945593,3.07204963486053,NaN,NaN,NaN
4,0.271068016056911,NaN,NaN,0.191965572331452,NaN,0.441909418842185
5,NaN,NaN,NaN,NaN,0.0526396930571415,NaN
7,NaN,0.00836366680866861,NaN,NaN,NaN,NaN
7.5,NaN,NaN,5.55966810272121,0.144577341395772,NaN,NaN
8.5,0.34414050100576,NaN,NaN,NaN,NaN,0.436646306605967
10,NaN,0.00661220106895296,7.00347380583059,0.124298885661637,0.0315566326304656,NaN
15,0.351104440843493,0.00553070343767391,7.99075665899359,0.107887674619969,0.00382956208493292,0.470940877414709
20,0.369530388754153,0.00524410885456027,9.18415900056641,0.0974303000104346,NaN,0.4950523324939
25,0.3831432108085,0.00485401427177314,9.09728705520194,0.0966838809506503,0.0308374473708122,0.462551632157466
30,0.362407936640815,0.00499332617276762,9.94078809945992,NaN,-0.0334867648024249,0.470020300763546
35,NaN,0.00515273101971495,NaN,0.102760370526752,-0.0343349809788289,NaN
40,0.360954632670594,NaN,10.4212100831671,0.0949106644764167,NaN,0.48671848121109
45,NaN,0.00542105209406564,10.1175860721772,NaN,0.0545516102250207,NaN
50,NaN,0.00517901832303847,NaN,0.103834414799412,NaN,NaN
55,NaN,NaN,9.87395771131225,NaN,-0.0472443914130832,NaN
60,NaN,0.00522319758353227,NaN,0.096103756726952,NaN,NaN
65,NaN,NaN,9.8654268530747,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.0457529820222341,NaN
85,NaN,NaN,NaN,NaN,-0.0112649569222857,NaN
