t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,63356362.2592425,-438356.386343482,-1.58465058280065e-05,0.0301881285392564,-4.51719822148459e-05,-4.34303771449991e-05,-2059358.18565893
30,7884873.69531454,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,9967968.23629188,NaN,NaN,NaN,NaN,40135264.4265871
60,3206172.44474186,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,26749102.4991519
75,NaN,12164033.6313433,NaN,NaN,NaN,NaN,NaN
95,381984.943769355,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,8787091.22351296,NaN,NaN,NaN,NaN,17900731.9935878
150,2182949.38887902,5324125.23203983,NaN,NaN,NaN,NaN,9266026.1810573
200,-359643.088858333,2311441.48177643,NaN,NaN,NaN,NaN,5039862.38679807
250,595830.065344288,1218725.87424027,0.000357327962991256,NaN,0.011907259906019,NaN,-25530.5277165973
300,935117.658815637,799452.645377537,NaN,0.0110852012196091,NaN,NaN,1196921.27391543
350,1341350.66387959,534815.047193647,NaN,NaN,NaN,NaN,-979985.874443995
450,NaN,433406.694917264,3.59065996139764e-05,NaN,NaN,NaN,553122.735964073
500,NaN,-36695.3382116045,NaN,NaN,NaN,0.00528598797832229,190245.597341704
550,NaN,NaN,NaN,0.0212339248987151,0.000846092459666197,NaN,NaN
600,NaN,-496939.04607068,NaN,NaN,NaN,NaN,-346521.421033386
700,NaN,-286143.495727442,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,1.44926443938733e-05,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,0.000323171892927344,NaN,NaN
900,NaN,NaN,NaN,0.0267805994004913,NaN,NaN,NaN
1000,NaN,NaN,1.40367757113995e-05,0.0154568488710844,-0.000116995601362586,0.00459412863343914,NaN
1500,NaN,NaN,6.46044881049361e-06,0.019183022064689,0.000605678915940274,0.00356122403071791,NaN
2000,NaN,NaN,-9.7991712450143e-06,0.0241296082413907,0.000143967287655568,0.00324736391234309,NaN
2500,NaN,NaN,NaN,0.0266745066034489,0.000175408322110314,0.00309226871453151,NaN
3000,NaN,NaN,NaN,0.0201330764121057,0.000503067607776564,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,0.00238664200966172,NaN
4000,NaN,NaN,NaN,0.0230729843937283,NaN,0.00216195203879821,NaN
4500,NaN,NaN,NaN,0.0273901648538656,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.00155365836906429,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.00101344225112952,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.00115043870293753,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000814421264481456,NaN
