t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,69248942.4854581,-75584.3734885508,6.30480218404865e-06,0.0303902161533094,8.66136707109416e-05,0.000258476597895151,31997.3175700494
65,NaN,NaN,NaN,NaN,NaN,NaN,12763770.0871146
70,36438098.407405,3979232.44345368,NaN,NaN,NaN,NaN,NaN
150,20252043.269996,4093477.90565028,NaN,NaN,NaN,NaN,10927902.2566183
200,14325552.4522244,2936793.88970418,NaN,NaN,NaN,NaN,7552528.82959989
300,5790564.97644891,1922626.41550761,NaN,NaN,0.0135561246267526,NaN,4210480.62208592
350,NaN,NaN,0.00041485736020684,0.0128206961026193,NaN,NaN,2922693.27951808
400,5762667.31927206,923460.328868871,NaN,NaN,NaN,NaN,NaN
450,NaN,1066845.15637712,NaN,NaN,NaN,0.00493923183696382,1765953.93192867
500,-156250.223429743,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,0.00570468411536931,NaN,524176.372250723
600,NaN,332587.134311097,NaN,NaN,NaN,NaN,NaN
650,1282968.86257226,NaN,NaN,0.0128733204102314,NaN,NaN,NaN
700,NaN,95004.2904231162,7.9163569931465e-05,NaN,NaN,NaN,585986.098116525
800,-795259.320425875,NaN,NaN,NaN,NaN,NaN,-119955.198007428
850,NaN,60404.1739657441,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,0.000491289482877038,0.00564634676552108,NaN
1000,NaN,226934.093596774,2.23938828896907e-05,0.0220741738792243,0.000967153283434167,NaN,-807699.033053891
1500,NaN,-19786.9795320315,3.2707603726692e-06,0.0157554150604495,1.70491599208256e-05,0.00497019399422789,NaN
2000,NaN,NaN,1.25070354868126e-05,0.0215653546042995,0.000466866136995272,0.00456240309535541,NaN
2500,NaN,NaN,7.36683665897435e-06,0.0224480172878762,-0.000478365242055756,0.00332450987366148,NaN
3000,NaN,NaN,-3.28664420215831e-06,0.020564110612038,NaN,0.00336336887303496,NaN
3500,NaN,NaN,NaN,0.0253205482745845,8.78029797203675e-05,NaN,NaN
4000,NaN,NaN,-3.93622185604675e-06,0.019760118892199,NaN,0.00307416615094399,NaN
5000,NaN,NaN,NaN,0.0249286923364251,NaN,0.00171649828720075,NaN
6000,NaN,NaN,NaN,0.0246115119355179,NaN,0.00187648390529271,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.00132286478828937,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00134748529700597,NaN
