t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,64539888.2490382,16632.1683328988,1.97815109827673e-06,0.0279906486267363,0.00013928981051734,0.000188264787584103,17420.8517362949
150,46329838.715077,663629.831566521,NaN,NaN,NaN,NaN,1714384.78791892
250,33485816.4782992,NaN,0.000345106122186795,NaN,NaN,NaN,NaN
350,NaN,493805.105622887,NaN,NaN,0.00725187423554077,NaN,1384133.01785358
400,24497739.4568445,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,0.00020459929405446,0.0192212239930316,NaN,0.00239655892035943,822504.649918395
550,16482872.805484,301476.83563757,NaN,NaN,NaN,NaN,NaN
750,12916496.056694,203641.539153004,0.000130926031924543,NaN,0.00344809623964639,NaN,536970.95056054
900,7813749.12962882,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,0.00394560000990055,154344.912305024
1000,4099083.1589945,95232.6700846937,5.56339992986445e-05,0.0195133363447141,0.00240913484660301,NaN,182818.328547607
1500,4928317.56001735,-10467.9414377016,1.73084863979436e-05,0.0188599836103877,0.000383628078630568,0.0040912543378412,10276.8148701533
2000,1981652.60717519,NaN,2.05017180605473e-05,0.023637666144201,0.00018330433830165,0.00403257660570445,NaN
2500,-2124080.65928955,NaN,NaN,NaN,0.000232595707831927,0.00320324648819207,NaN
3000,NaN,NaN,NaN,0.0276073610079462,0.00023141617591221,NaN,NaN
3500,NaN,NaN,NaN,0.0244564943846193,NaN,0.00202016983446707,NaN
4000,NaN,NaN,NaN,NaN,-7.31143998922333e-05,0.00252596874335907,NaN
4500,NaN,NaN,NaN,0.0223427028108171,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,-6.28134234800684e-05,0.00173420094019622,NaN
5500,NaN,NaN,NaN,0.0171373557011888,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,-0.00025244239876943,0.00118199316977924,NaN
7000,NaN,NaN,NaN,0.0266824112665196,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000569021924464588,NaN
8500,NaN,NaN,NaN,0.0231747631158074,NaN,0.000655923644067412,NaN
