t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,60434518.6115182,-385317.847583829,-1.98390251979938e-05,0.0284073836733681,-0.000224104920786866,0.000274208606831775,-771432.799515105
35,32267476.3874018,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,6951299.66402199,NaN,NaN,NaN,NaN,23769172.7167843
70,16663443.7636399,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,8028243.63275977,NaN,NaN,NaN,NaN,20780232.8267377
100,9586652.18881887,NaN,NaN,NaN,NaN,NaN,NaN
150,2935122.49899197,5253597.6910964,NaN,NaN,NaN,NaN,11762768.8853648
200,-25267.1824014573,3660121.70519161,0.00060990310009263,NaN,0.0161977300787327,NaN,6739383.33619112
250,1523323.62883778,1991386.35273453,NaN,NaN,NaN,NaN,3391505.39086769
300,NaN,1294592.39085436,NaN,0.0130602571662929,NaN,NaN,217765.389550661
350,2921414.63388205,NaN,NaN,NaN,NaN,NaN,1581551.80500786
400,NaN,182398.927321584,NaN,NaN,NaN,NaN,NaN
450,NaN,-390352.876163952,0.000118000941897324,NaN,0.00475796266080221,NaN,568295.522569781
500,NaN,NaN,NaN,NaN,NaN,0.00508405260644347,NaN
550,NaN,120052.779236961,NaN,NaN,NaN,NaN,-1228413.29859709
650,NaN,NaN,NaN,0.0160931208429494,NaN,NaN,-320410.108953438
700,NaN,180081.663239247,2.3724403980563e-05,NaN,0.000193560991801738,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,-207177.74853375
850,NaN,209284.496196642,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,0.0177782205318195,-0.000217166877331021,NaN,NaN
1000,NaN,NaN,1.77893174984112e-05,NaN,NaN,0.00388791572287678,NaN
1500,NaN,NaN,-1.20117456319173e-05,0.0213773938457122,0.000245787255780185,0.00423348296581163,NaN
2000,NaN,NaN,-5.01609015858443e-06,0.0172320337054855,3.211021443142e-05,0.00349032109953202,NaN
2500,NaN,NaN,NaN,NaN,0.000406230986068425,NaN,NaN
3000,NaN,NaN,NaN,0.0293500597488626,8.56790721676326e-05,0.00224846137742832,NaN
3500,NaN,NaN,NaN,0.0245360281364597,NaN,0.00245190338754917,NaN
4000,NaN,NaN,NaN,0.0233224343362288,NaN,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.0016087923830238,NaN
5000,NaN,NaN,NaN,0.0249289038001431,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000634986120892886,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.00164449002922859,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000972649666958075,NaN
