t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,62251968.8710799,-53461.4917362991,4.32961552122665e-06,0.0193578282180325,-0.000210588106311786,0.000153946879190209,-255481.529997026
85,47432579.8486907,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,1790346.55831586,NaN,NaN,NaN,NaN,NaN
150,36775890.768318,NaN,NaN,NaN,NaN,NaN,4695285.26220658
200,NaN,1603290.20217273,NaN,NaN,NaN,NaN,NaN
250,27357946.5618978,NaN,NaN,NaN,NaN,NaN,3669728.5879067
350,24285820.4626022,1161880.01479353,NaN,NaN,0.0111443845142245,NaN,NaN
400,NaN,NaN,0.000360469842144501,NaN,NaN,NaN,NaN
450,16773588.1298999,752856.981350916,NaN,0.0135812729529249,NaN,0.00456588015300867,1976437.03860894
600,11469094.2406181,412674.799360569,NaN,NaN,NaN,NaN,1160427.36734768
650,NaN,NaN,NaN,NaN,0.0057841908909705,NaN,NaN
750,6349857.06602674,175100.453660522,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,0.00011606255038483,NaN,NaN,NaN,670952.97694579
850,NaN,NaN,NaN,0.0179756647115363,NaN,NaN,NaN
900,1378844.74198816,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,186314.811431279,NaN,NaN,NaN,0.00577207413880466,NaN
1000,4458829.47493942,110262.277492626,7.43249433569575e-05,NaN,0.00252157320577336,NaN,422875.495506388
1500,3995256.1951912,-96004.7700438551,1.42678805589739e-05,0.0219329779724477,-5.89974340371837e-05,0.00580474846267972,17365.109763148
2000,NaN,42123.5133283396,7.98865895479156e-06,0.0241382175831152,2.89518804191366e-05,0.00476481737850096,NaN
2500,NaN,NaN,1.80332929515558e-05,0.0178219723074037,-0.000151674648457798,0.0045031107476494,NaN
3000,NaN,NaN,NaN,0.0212195510712794,0.000135900156049275,NaN,NaN
3500,NaN,NaN,-2.26812477263164e-06,NaN,-0.00013272736542196,0.00322262459393556,NaN
4000,NaN,NaN,-1.21871507138645e-05,0.0226086915628921,NaN,0.00196159519658463,NaN
4500,NaN,NaN,-1.35296475017117e-05,0.018192536748454,-8.61752063426826e-05,NaN,NaN
5000,NaN,NaN,NaN,NaN,-0.000140495783089288,0.00210443894659965,NaN
5500,NaN,NaN,-5.63531713576292e-06,0.0219189855552332,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.00144513428261966,NaN
7000,NaN,NaN,NaN,0.0225434749973903,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000425529889228118,NaN
8500,NaN,NaN,NaN,NaN,NaN,-0.000201516851522317,NaN
