t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,64520065.0450901,-731363.217871901,8.83153329008637e-07,0.0271417201744711,0.00011761382139165,-0.000130213867895185,-843392.262000757
30,NaN,NaN,NaN,NaN,NaN,NaN,42402070.1317982
35,1002106.21261443,13147387.3377095,NaN,NaN,NaN,NaN,NaN
65,-1466391.92347281,NaN,NaN,NaN,NaN,NaN,27533141.0385824
70,NaN,11484843.0600072,NaN,NaN,NaN,NaN,NaN
100,187427.241499921,8556514.95120704,NaN,NaN,NaN,NaN,16162173.8519704
150,-355775.258774795,4105880.70170613,NaN,NaN,NaN,NaN,8293559.8161756
200,1386627.62016522,1373210.80642839,NaN,NaN,NaN,NaN,2580776.03255797
250,-176368.135577145,608864.590188119,NaN,0.0100709413369186,0.0113446428747235,NaN,667090.308316415
300,-434870.537643962,367643.611058765,NaN,NaN,NaN,NaN,NaN
350,NaN,206366.256234935,NaN,NaN,NaN,NaN,-315867.340119422
400,-125360.967394624,NaN,NaN,NaN,NaN,NaN,15737.8703118889
450,NaN,-17460.6806871242,NaN,NaN,NaN,0.00447056571772567,NaN
500,NaN,NaN,1.58371251219328e-05,0.0143996322845918,0.00101063430764794,NaN,-904319.098387272
550,NaN,539746.425882755,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,-656606.906832153
650,NaN,-218338.354813256,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,0.0201343438018191,7.28224925590673e-05,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,0.00406490121816624,NaN
1000,NaN,NaN,2.63601656113464e-06,0.0198203844534338,-0.000150857889293368,NaN,NaN
1500,NaN,NaN,2.75733442421864e-06,0.0214577847006286,0.000261608215584264,0.0031361708341491,NaN
2000,NaN,NaN,NaN,0.020616891206053,-0.000141219904440001,0.00276219678424114,NaN
2500,NaN,NaN,4.77244849757504e-06,0.0208644954832694,-0.000105246626499881,0.00262791093660079,NaN
3000,NaN,NaN,NaN,0.0242442405652222,-0.000332723857010837,0.00214247427563052,NaN
3500,NaN,NaN,1.84492070329682e-06,0.0215811496592435,NaN,0.00171136123847499,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.00188350796986618,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.00157129080932985,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000884857811342169,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000780691832020499,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000823155281664964,NaN
