t,p_IL13_Rec_Obs,pSTAT5_Obs
0,0,0.531450225756463
7,NaN,39.4644374114335
10,0.972137429499636,NaN
15,NaN,125.442205481896
20,NaN,106.572288160767
25,0.767640512795552,NaN
30,NaN,142.417006367232
35,0.499608195372737,NaN
40,NaN,116.739305747104
45,1.19950672418464,NaN
50,NaN,157.625227455043
60,0.939270176979766,NaN
65,NaN,74.1574270041756
75,1.04864098837121,NaN
80,NaN,128.648899240285
90,0.925045920524574,NaN
100,0.642092199293526,136.667228009696
150,1.26431101835418,NaN
200,0.513542230786445,NaN
250,1.18873174777728,NaN
300,0.762955687995208,NaN
