t,pSTAT5_Obs,SOCS3mRNA_Obs,CD274mRNA_Obs
0,0.647985065979512,0,0
10,35.2044145832412,12.7578189493409,1.1297497677839
20,NaN,94.0673519456662,NaN
25,78.7659553282644,NaN,9.66459846282946
35,98.4472334210303,143.475704466042,44.2361692038404
45,NaN,487.446616707219,NaN
50,143.410120614167,NaN,64.3459659222174
60,NaN,1230.74824096251,NaN
65,201.93779175657,NaN,132.752626179061
75,NaN,701.233624594023,NaN
80,162.811645936297,NaN,61.3045426033731
90,NaN,1531.33549653669,NaN
95,160.792450149796,NaN,70.677075184723
100,106.2807628866,425.188525864668,132.800987771193
150,97.2305566599549,1301.24416819345,363.498885768236
200,131.644307755868,3935.87060469201,345.667477235366
250,106.003503466055,1271.58099305871,435.730484764861
300,172.698125379295,2611.49739365962,886.309671674569
