t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,28.7941424106444,25.3499287757874,-0.000101154422584135,0.000425452580263029
8.5,NaN,53.037457876952,NaN,NaN
10,20.7231707128968,NaN,0.0175106196197061,NaN
15,NaN,40.6459602597812,NaN,0.0164333012085948
20,23.2098289325326,NaN,NaN,NaN
25,NaN,31.3498128274336,0.00559961766582643,0.0110949647135035
30,28.5204628360704,NaN,NaN,NaN
35,NaN,28.2571384830399,0.000846856154904333,NaN
40,NaN,NaN,NaN,0.00148502693395802
45,29.3605305330492,26.7804292746667,NaN,NaN
50,NaN,NaN,2.27479788539206e-05,NaN
60,27.1767738360252,27.1920558102914,NaN,-0.000125624407705434
70,NaN,27.9311660369074,-0.000240687430128587,NaN
75,NaN,NaN,NaN,-4.34082957228429e-05
80,27.6228299198491,NaN,NaN,NaN
90,NaN,26.4316331777268,0.000113405566515935,NaN
100,29.0683819615139,28.5115853159306,0.000237935738080698,-0.000145830486879814
150,NaN,26.4187666515444,-2.10703386632107e-06,4.08921649885566e-05
