t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.3556654439829,26.5917038709392,0.000521938184036713,0.000237404127164582
4.5,NaN,NaN,NaN,0.000524372347168395
7.5,NaN,NaN,0.0102419881581056,NaN
9.5,NaN,NaN,NaN,0.00501465576209828
15,NaN,NaN,0.0310058693211489,0.0203802181703663
20,19.475065905809,55.0397065942402,NaN,0.0303210231320532
25,NaN,NaN,0.0352288276200546,0.0347826290061454
30,NaN,NaN,0.0322788003763801,0.0338423001568575
35,NaN,49.5204015272156,NaN,NaN
40,NaN,NaN,0.0020504722578615,0.0114528045418403
45,20.5059909934589,NaN,NaN,NaN
50,NaN,NaN,-0.000245242609691803,-0.000389869732952437
55,NaN,49.6488813935079,NaN,NaN
60,NaN,NaN,NaN,-0.000544025556308561
65,20.7361039432154,NaN,0.000213038605184716,NaN
70,NaN,NaN,NaN,-0.000445653779097419
75,NaN,48.2653962883311,NaN,NaN
80,NaN,NaN,0.000465776644101018,NaN
85,NaN,NaN,NaN,-0.000400837475865875
90,21.7609115170119,NaN,NaN,NaN
95,NaN,NaN,-0.000269075632482503,NaN
100,22.8825124035855,45.8736907334296,0.000362023203202074,NaN
150,25.9648067209737,45.1401744057267,-0.000813160667267184,NaN
200,23.2365317650126,39.3007527124096,NaN,NaN
250,27.5049998343003,38.5152909498854,NaN,NaN
300,26.6192038353894,34.6510826769398,NaN,NaN
350,27.5282512932173,32.4441308086267,NaN,NaN
400,NaN,34.0943626251656,NaN,NaN
450,26.9841363558742,NaN,NaN,NaN
