t,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,5.72619445083429e-05,30.5640368724783,27.9957323513961,0.000302504761049779,0.000261215819470655,0.000528638309917312,0.00096964892172073,-0.00657694775711264
15,NaN,23.8524708386833,38.4514153631611,NaN,NaN,NaN,NaN,NaN
20,0.011299660663039,NaN,NaN,NaN,0.0121829759945776,0.0108033879028076,0.00906342726118148,0.054542413640046
25,NaN,NaN,NaN,0.0134395397637054,NaN,NaN,NaN,NaN
30,NaN,NaN,39.9603042943856,NaN,NaN,NaN,NaN,NaN
35,0.0112693007211307,22.4149741388144,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.0130979363764525,NaN
45,NaN,NaN,40.0327845518291,NaN,0.0119881057199966,0.0121338428484611,NaN,0.234231319115394
50,NaN,NaN,NaN,0.011170299439369,NaN,NaN,NaN,NaN
55,0.0106280831991778,26.373797695916,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,36.2750400655531,NaN,NaN,NaN,0.0106985215724046,0.205333135849991
70,NaN,NaN,NaN,NaN,0.0098105159018718,0.0108353090095865,NaN,NaN
75,0.00895351556311205,24.2504824144289,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.00950354086895177,NaN,NaN,NaN,NaN
85,NaN,NaN,37.0614748907842,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.00986474085756344,NaN
95,NaN,25.8945384714544,NaN,NaN,0.00924376114761346,0.00844419659838226,NaN,0.177578762373684
100,0.00832177351893093,25.1585881033604,40.5849390394224,0.00901762553840467,NaN,0.00857231399846686,0.00918114337794255,0.173004054044517
150,0.00819597055965555,25.4985948028087,38.2030561600525,0.0085138613854372,0.00807177866318539,0.0082162309981549,0.00890483797440599,0.150872478435558
200,0.00812353392770461,26.0787279083764,33.0915564312662,0.00802173776366918,0.00758332504838123,0.00758974097971684,0.00748883061862963,0.139217076222937
250,0.00709616439393565,25.5069851696179,36.9370243200295,0.00694180246360097,0.00729540209891806,0.0071721247554481,0.007504727430066,0.13996124236726
300,0.00725029890730849,25.1263517727024,37.3940191835063,0.00831786891320605,0.00742146829413477,0.00755411930435738,0.00716545885971868,0.13059266285042
350,NaN,24.4351701491122,NaN,0.00721909969128264,NaN,0.00680728063653282,NaN,0.138632069144207
