t,input_il6,SOCS3RNA_Obs
2600,0.1,-1.89219414671128e-05
2600,0.1,2.00963585233954e-05
2600,0.5,5.1511077900887e-06
2600,0.5,8.87749480613238e-05
2600,1,3.094399144346e-05
2600,1,9.35970416219144e-05
2600,2.5,0.000133253456474826
2600,2.5,0.000182712163136379
2600,5,0.00022923981004552
2600,5,0.000229272550893102
2600,10,0.00044608235834655
2600,10,0.000480741849204542
2600,25,0.000809104614409375
2600,25,0.00089225957084676
2600,50,0.00121137017055474
2600,50,0.00121626600347029
2600,100,0.00159209610781992
2600,100,0.00161413818319688
2600,500,0.00219544123187981
2600,500,0.0022362806627971
