t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.7911058471493,25.023602095402,0.000317051134198458,-7.74908434426006e-05
7,NaN,47.3555394732451,NaN,NaN
10,19.8231620379937,NaN,0.0147079148454464,0.0047917857985625
15,NaN,55.0185083262546,NaN,NaN
20,NaN,53.4680747017568,NaN,0.0258230775999633
25,22.364736135224,NaN,0.0289096316047552,NaN
30,NaN,35.5107969659515,NaN,NaN
35,NaN,NaN,0.0095584480541964,0.0174822081601959
40,26.7355117327696,30.751880063954,NaN,NaN
50,NaN,27.6263355197418,0.000999279791042173,0.00175001208365699
55,29.3102664075707,NaN,NaN,NaN
65,NaN,25.796322795425,0.000312055413280489,-9.3382180951455e-05
75,28.8678371204837,NaN,NaN,NaN
80,NaN,26.0189864603993,NaN,-0.000189497804363092
85,NaN,NaN,0.000129147081977917,NaN
95,28.4644017669687,NaN,NaN,NaN
100,26.8043806479564,24.1683209470784,0.000227738981566327,-0.000244595767618406
150,28.6803958142064,NaN,-1.46279116132395e-05,-0.000534779222664884
