t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,28.2938195394888,25.9558005608686,-0.000149513999533579,0.000292778534302973
7.5,NaN,52.1812757751628,NaN,NaN
10,19.1770997348727,NaN,NaN,0.00643224477750864
15,NaN,57.2288361535633,0.0313526652438643,NaN
20,22.5893989630538,NaN,NaN,0.0287352706226956
25,NaN,37.0705848857331,NaN,NaN
30,26.0612547594933,32.2166836276197,0.00735953743394936,NaN
35,NaN,NaN,NaN,0.007549749514233
40,NaN,25.7606478986548,NaN,NaN
45,28.3991406286646,NaN,0.000475777640650777,NaN
50,NaN,27.6844525666079,NaN,0.000326825005817293
60,27.7976781949898,NaN,NaN,NaN
65,NaN,27.5467427172809,0.000291726746107026,0.000307646165017905
75,29.8243411803631,NaN,NaN,NaN
80,NaN,27.6292890854296,NaN,9.00756104000322e-05
85,NaN,NaN,5.0422370115066e-05,NaN
95,28.8425092527795,28.031183334298,NaN,NaN
100,27.4220226149989,24.7337077537359,-0.000199220674022463,0.000358464172239323
150,NaN,NaN,2.07468582971246e-05,0.000130538243617165
