t,input_il6,SOCS3RNA_Obs
760,0.1,-8.28341626377591e-06
760,0.1,1.25062886274436e-05
760,0.5,-1.73511102416339e-05
760,0.5,2.62661634059889e-05
760,1,2.55394043576294e-05
760,1,4.051468022856e-05
760,2.5,-9.00612749747221e-06
760,2.5,2.73044013537321e-05
760,5,4.75042218884567e-05
760,5,6.06835444490699e-05
760,10,0.000121241467534269
760,10,0.000128265242959493
760,25,0.000316757685110604
760,25,0.000322742264321852
760,50,0.000548374653474124
760,50,0.000548938989419987
760,100,0.000859419170781302
760,100,0.000866951336751131
760,500,0.00163075518358934
760,500,0.00164646880987237
