t,pJAK1_pgp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.00461928946776866,30.0725195250936,0.668299137173631
9.5,NaN,NaN,14.4042791855287
10,0.34721680506254,13.4199449236343,NaN
20,0.345447757693986,NaN,11.8727057922639
25,NaN,16.2963940926091,NaN
30,NaN,NaN,10.2510295222121
35,0.242139584443716,NaN,NaN
40,NaN,20.3895229619129,8.88773110494006
45,0.195085785796483,NaN,NaN
55,NaN,19.6105784509053,8.37482543121588
60,0.163046168794726,NaN,NaN
70,NaN,21.7694174671318,7.58280296972882
75,0.146732638726523,NaN,NaN
85,NaN,NaN,7.19288304743984
90,NaN,20.8096536084064,NaN
95,0.121859166836638,NaN,NaN
100,0.150319212561955,20.9164482238928,6.30549236852399
150,0.125884517205167,21.8654010408536,5.85895338626654
200,0.132205484441917,21.4187055440957,7.05075395606381
