t,input_il6,pJAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
14,5,0.00207093797246697,27.856323363773,33.6225061290975,0.00100146444401246,0.000697353282445741
14,5,0.00283273954165429,27.6941740106923,30.3855697294408,0.00374540319676137,0.00103023980726933
14,5,0.00351678755705334,28.1516872749447,33.0157489518098,0.0022574038066892,0.00163658556056473
14,5,0.00373525212109335,28.489516618915,30.9331345463584,0.00118197900894295,0.000776855389044815
14,20,0.0104360459262286,23.8945736803184,41.120075473427,0.00730626307650503,0.00480778578442907
14,20,0.01139131138118,25.7672577924865,39.5242709441172,0.00867478473945233,0.00423216498236258
14,20,0.0117933888106156,23.9401156979121,43.2746822720497,0.00683265592926262,0.00409907155787345
14,20,0.0130145086803634,25.0935464652278,38.7550644509859,0.00846173425824931,0.00440993948177445
14,40,0.0203935630730539,21.3497055397714,45.0545561554106,0.0167519777757932,0.00896959222503355
14,40,0.0211837393144462,21.2104101262087,47.0649183690261,0.0164423921125378,0.00873335740485998
14,40,0.0217278973000703,21.4356118575104,49.8058717758663,0.0165456065719968,0.00905364813090462
14,40,0.0218315330089588,20.4259677473746,49.069633017054,0.0166155318687383,0.00942564073907365
14,90,0.0323541641957879,18.5526390194396,58.9639018292566,0.0308528754350766,0.0186827376172031
14,90,0.0328153662817652,17.9632193149313,64.4346391901342,0.032100539003321,0.0190102720926745
14,90,0.0331963281733182,16.842615747168,58.9883550161374,0.0321629671759267,0.019188769104186
14,90,0.0335223148531877,18.3489877464022,58.679902252129,0.0323514535570316,0.0190906855592644
