t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.1651163684187,25.580375827148,0.000420930920871798,-6.76420704262036e-05
9.5,NaN,60.1324029483724,NaN,NaN
10,17.3950523659514,NaN,0.0257074581628583,0.00947196627813517
20,23.2099194332684,43.3478461457433,NaN,NaN
25,NaN,NaN,0.0146760951696619,0.0255492373274928
30,NaN,31.1334001160256,NaN,NaN
35,27.8572750139519,NaN,NaN,NaN
40,NaN,NaN,0.00131319747582959,0.00289303562688886
45,29.4269657111356,24.6897170639432,NaN,NaN
55,NaN,24.3405636193881,0.000336101051865918,0.000352839600489438
60,29.7153750898998,NaN,NaN,NaN
70,NaN,NaN,0.000221098406072905,5.14879888736404e-05
75,NaN,24.5189578178369,NaN,NaN
80,30.9451363712104,NaN,NaN,NaN
90,NaN,NaN,0.000125407428972329,5.24428842107523e-05
95,NaN,27.1578751629419,NaN,NaN
100,30.1805338213524,25.467172407586,-2.3753339659827e-05,-7.6441785568406e-05
150,28.8704293845673,NaN,-0.00014829521900288,3.05697151647085e-05
