t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,27.9367507820439,24.500505137507,-0.000638611803457499,-0.000449184624672548
10,NaN,NaN,-0.000610659449446327,NaN
15,17.0693875704589,57.9236194979021,NaN,-2.71720210418174e-06
20,NaN,NaN,-0.000478110292995546,NaN
25,NaN,55.7164052020932,NaN,NaN
30,NaN,NaN,NaN,-0.000398877855184197
35,18.6974337882404,NaN,0.0228682918696184,NaN
40,NaN,55.8649014958668,NaN,NaN
50,20.0894016024283,NaN,0.0312131708210057,0.0311285267014385
55,NaN,51.8102338492111,NaN,NaN
65,NaN,NaN,0.0231042949340142,NaN
70,23.8035332770792,42.857996009195,NaN,0.0234969438341383
85,NaN,NaN,0.0197798238797614,NaN
90,24.1441322739973,44.3180935793314,NaN,NaN
95,NaN,NaN,NaN,0.0192093859135026
100,20.8674891369549,48.7374221273388,0.0179415644685899,0.0185783946712526
150,24.1215610188014,42.4139588236813,0.0143502909138087,0.0154043558986275
200,22.9781067567231,40.710651591188,NaN,NaN
250,24.8361619106895,41.0656457981029,NaN,NaN
300,24.9451828033364,46.0061144805228,NaN,NaN
